author,comment,case_folded_comment
@ahmadn7576,Ya Mulyono Rajan a,ya mulyono rajan a
@kukrikaratan,Dana kilang udah kita bagi-bagi belikan tas kresek😂😂❤❤,dana kilang udah kita bagi-bagi belikan tas kresek😂😂❤❤
@WiraAdiarsa,Sengaja TDK dibangun agar import tetap jalan itu agar komisi dari import banyak,sengaja tdk dibangun agar import tetap jalan itu agar komisi dari import banyak
@secondnightfrombehind,Kue dah dibagi😂 dah jadi teek😂😂😂,kue dah dibagi😂 dah jadi teek😂😂😂
@eskrimwatch09,Hancurkan suara golkar di pemilu  rakyat tisak boleh kalah sm uang 50-100rb,hancurkan suara golkar di pemilu  rakyat tisak boleh kalah sm uang 50-100rb
@BambangRiyanto-wx3tb,Sing goblookk juga rakyat Indonesia.... Mau2nya disogok duit,sing goblookk juga rakyat indonesia.... mau2nya disogok duit
@15.kadekkevinatalanta41,"Boleh ambil uangnya,tpi ttp coblos semuanya ngk ush krtas d buka tpi lngsng coblos kl kosong akn d manipulasi suaranya","boleh ambil uangnya,tpi ttp coblos semuanya ngk ush krtas d buka tpi lngsng coblos kl kosong akn d manipulasi suaranya"
@JonKomen,"Kata over capacity harusnya menunjukkan kapasitasnya berlebih, brrti kilang kurang. Kalo kilangnya berlebih adalah over invenvestment","kata over capacity harusnya menunjukkan kapasitasnya berlebih, brrti kilang kurang. kalo kilangnya berlebih adalah over invenvestment"
@KaisaUlyaazizah,​ @eskrimwatch09 ambil duit nya tapi jgn dipilih partainya😂😂😂,​ @eskrimwatch09 ambil duit nya tapi jgn dipilih partainya😂😂😂
@calonpenyanyicilik-ut1hf,"​ @eskrimwatch09  50k mendinglah, ditempat saya RT sekecamatan dikumpulkan, pas suara bupati dan pas DPR kalah, muka mereka pucat, Agustusan aja 1bendera aja dipinggir jalan kaga ada, didesa malah rame😂😂😂","​ @eskrimwatch09  50k mendinglah, ditempat saya rt sekecamatan dikumpulkan, pas suara bupati dan pas dpr kalah, muka mereka pucat, agustusan aja 1bendera aja dipinggir jalan kaga ada, didesa malah rame😂😂😂"
@tapeUliku,​ @JonKomen artinya impor BBM  itu akibat over Investment??,​ @jonkomen artinya impor bbm  itu akibat over investment??
@BadruzamanIbad,​ @eskrimwatch09 ambil uangny pilih yg benar..,​ @eskrimwatch09 ambil uangny pilih yg benar..
@dodyrainst4871,"Rame"" tegas resuffle bahlil","rame"" tegas resuffle bahlil"
@firman_mustaqim,Itukan partainya SoeHARTOOOO😂🎉,itukan partainya soehartoooo😂🎉
@theBlackBokongs,​ @BambangRiyanto-wx3tb nah...ini jg masalah.,​ @bambangriyanto-wx3tb nah...ini jg masalah.
@ANB-tn8dk,mentri g bisa apa apa banyak teori kok mash di pake,mentri g bisa apa apa banyak teori kok mash di pake
@zipzikin7084,Partai jebolan orba semua KORUPTOR,partai jebolan orba semua koruptor
@Suduttukang,"Proses apa bahlul maksud, bikin kilqng itu proses paling di butukan untuk tambah produksi,

Lu mau perbanyak hasil produksi tapi pabriknya ngak dibuat kan logikanya masuk di got","proses apa bahlul maksud, bikin kilqng itu proses paling di butukan untuk tambah produksi,

lu mau perbanyak hasil produksi tapi pabriknya ngak dibuat kan logikanya masuk di got"
@jimmyrebel9385,Blacklist udah bener itu partai beringin,blacklist udah bener itu partai beringin
@galihwahyu7057,"Golkar, pdip partai2 paling merusak indonesia. Banyak mafia nya","golkar, pdip partai2 paling merusak indonesia. banyak mafia nya"
@manbejo612,"Sulit bro pecat si Bahlil soalnya dia petinggi partai. Apalagi di dpr suara/representatif golkar termasuk mayoritas, repot punya mentri dr parpol","sulit bro pecat si bahlil soalnya dia petinggi partai. apalagi di dpr suara/representatif golkar termasuk mayoritas, repot punya mentri dr parpol"
@erlanggawibawa1143,Kalo milih siapapun kalo cuma 50 100 minta 1 org minim 50jt baru pilih kalo cuma 100 50 duit receh,kalo milih siapapun kalo cuma 50 100 minta 1 org minim 50jt baru pilih kalo cuma 100 50 duit receh
@argamotor9940,Hidup PDIP,hidup pdip
@ahlamzulfadlirahmadani4111,"PESAN UNTUK YTH BAPAK PRESIDEN PRABOWO manuju bangsa dan negara Indonesia kuat dan maju dengan gerakan BEKERJA KERAS CERDAS BERINTEGRITAS yang menjujung tinggi moralitas bernegara
1.berantas koruptor koruptor sampai akar- akarnya tanpa tebang pilih dan tanpa kompromi dengan pelaku koruptor dan mafia mafia hukum karena koruptor membuat suatu negara dan bangsa rapuh dan miskin,sahkan undang undang perampasan aset dan jalankan undang undang keterbukaan informasi publik tentang anggaran penyelenggara negara beri pengawasan terhadap koruptor dari tingkat atas sampai kebawah hal ini untuk minimalisir terjadinya korupsi serta mewujudkan negara demokratis dan transparan,sudahi utang negara karena suatu negara kalau utangnya banyak akan mencekik leher rakyat.
2.berantas mafia mafia negara(mafia BUMN,mafia pajak,mafia tambang,mafia minyak ,mafia tanah,mafia sawit ,mafia laut,mafia pulau dan mafia mafia lainnya) dan berantas mafia mafia hukum berserta pejabat-pejabat yang melindungi dan membekinginya
3.berantas para elite politik,para penegak hukum dan pejabat-pejabat yang menabrak konstitusi,kebal hukum ,mempermainkan hukum, merekayasa hukum,mengutak atik hukum untuk kepentingan golongan ,berkepala dua,rangkap jabatan, kolusi, nepotisme,berbuat makar,kebijakan tidak pro rakyat hanya untuk kepentingan sekelompok,bekerja hanya untuk uang dan jabatan, hidup bergaya mewah,arogan,melanggar etika,berbuat tercela,nakal,memanipulasi,merekayasa,kepalsuan,ijazah palsu,gelar palsu,dokumen palsu,kebohongan,penipuan,mengadu domba,pemerasan,penindasan,intimidasi, diskriminasi dan kriminalisasi 
4.berantas  antek antek para mafia penjajah ekonomi sehingga rakyat di intimidasi dan dikriminalisasi dan berantas buzzer buzzer pemecah belah bangsa yang mengadu domba antara sesama rakyat serta mengadu domba antara pemerintah dengan rakyat dan berantas mafia mafia berserta pejabat pejabat yang mendanai buzzer buzzer penjilat uang rakyat 
5.berantas bandar judi online dan pejabat- pejabat yang melindunginya,karena judi online tidak sesuai dan betentangan dengan Pancasila ketuhanan yang maha esa,serta akibat judi online sangat merusak mencakup kehancuran finansial, menyebabkan masalah kesehatan mental seperti stres dan depresi, merusak hubungan sosial dan keluarga, serta dapat mendorong tindakan kriminal untuk menutupi utang,
6.berantas narkoba,premanisme dan pejabat- pejabat yang membekinginya
7.berantas rentenir dan pinjol yang membuat rakyat miskin bertambah miskin
8.tegakan hukum dengan tegak lurus tanpa direkayasa oleh uang dan mafia mafia hukum 
9.berjuanglah untuk bangsa dan negara bersama seluruh rakyat Indonesia dengan musyawarah untuk mufakat yang menjujung tinggi moral berladaskan konstitusi Pancasila dan UUD45 sebagai penyelengara negara
10.Jadikan kritikan rakyat dan unjuk rasa menjadi masukan bukan perlawanan,beri perlindungan dan keamanan dari penyusupan 
11.Baik buruknya negara karena elit politik,Penegak hukum dan pejabat bukan karena rakyat,kalau elit politik,penegak hukum dan pejabatnya baik dalam kebijakan maka negara menjadi baik kalau elit politik, penegak hukum dan pejabatnya rusak maka negara akan rusak, ada pepatah pribahasa guru kencing berdiri murid kencing berlari oleh karena itu perlu digarisbawahi NEGARA KITA MILIK SELURUH RAKYAT INDONESIA atau dikenal IBU PERTIWI bukan milik golongan dan bukan milik partai, pilihlah orang orang yang cerdas berintegritas untuk dijadikan pemimpin seperti DPR,menteri menteri,Kapolri,Hakim,Jaksa,BUMN dan institusi lainnya, karena logikanya negara maju semakin cepat pergantian para elite politik, penegak hukum dan pejabat yang tidak cerdas berintegritas dan tidak kredibel diganti dengan yang cerdas berintegritas dan kredibel maka semakin cepat mencapai kemajuan suatu bangsa dan negara ,dan jangan dibalik orang yang cerdas berintegritas disingkirkan orang yang rusak moralnya dipelihara,karena seorang pemimpin harus cerdas,benar,jujur,adil, rajin,amanah dan berani terhadap mafia mafia negara dan mafia mafia hukum untuk mewujudkan Indonesia kuat dan maju mencapai Rakyat adil makmur sentosa
12.cerdaskan kehidupan bangsa dengan cara pendidikan gratis dan merangkul anak bangsa yang cerdas dan berintegritas supaya bangsa dan negara kita mampu bersaing dengan negara negara lain dan tingkatkan ilmu pengetahuan,agama,sosial, budaya,sains dan teknologi untuk meraih kemajuan suatu bangsa dan negara yang bermartabat 
13.tingkatkan makanan bergizi yang sehat anti korupsi  untuk rakyat dengan cara makan gratis disekolahan dan menurunkan harga terjangkau  seperti sembako dan daging sapi waspadalah beri pengawasan terhadap makanan dan oknum seperti tragedi KPPS pilpres 2019 banyak memakan korban hal ini jangan sampai terjadinya keracunan
14.tingkatkan ekonomi rakyat miskin dengan  membuka lapangan kerja didesa desa dengan cara meningkatkan hasil pertanian sebagai pertahanan pangan dan membuat pabrik dididesa desa untuk mengolah barang baku menjadi barang jadi ,hal ini sudah diterapkan oleh negara negara maju  seperti  AS,Jerman,cina,jepang,Korea selatan dll  dan Indonesia akan terwujud apabila para pejabat DPR dan pemerintah bekerja keras cerdas berintegritas menjujung tinggi moralitas dengan azaz keadilan sosial bagi seluruh rakyat Indonesia demi untuk kepentingan bangsa dan negara dengan melibatkan anak bangsa yang cerdas berintegritas sesuai dengan  bidangnya masing masing 
15.tingkatkan koperasi desa anti korupsi,saya sangat setuju presiden Prabowo untuk meningkatkan koperasi sesuai printah UUD 45 karena ekonomi rakyat Indonesia baik sektor pertanian,perikanan dan perindustrian dikusai oleh para tengkulak ,sedangkan rakyat Korea selatan baik sektor pertanian,perikanan dan perindustriannya dikuasai oleh koperasi, yang saya tidak setuju pelaksanaan yang tidak efektif dan dana koperasi yang ujung ujungnya dikorupsi itulah yang membuat koperasi tidak berjalan,hal ini bagaimana caranya supaya pelaksanaannya efektif untuk minimalisir terjadinya korupsi,karena KORUPSI ADALAH MUSUH NEGARA dan NKRI HARGA MATI JANGAN KORUPSI
16.tegakan para pejabat, elit politik dan penegak hukum untuk menjalankan kemanusiaan yang adil dan beradab baik perkataan,perbuatan dalam kebijaksanaan untuk mencapai keadilan sosial bagi seluruh rakyat Indonesia serta mewujudkan persatuan Indonesia,oleh karena itu untuk para pejabat, elit politik dan penegak hukum yang tidak adil dan tidak beradab tidak perlu disopan satunkan dan tidak boleh disatukan dalam pemerintahan pusat maupun daerah baik dilembaga eksekutif, legislatif dan yudikatif karena tidak sesuai dengan etika,akal sehat, dan hati nurani rakyat 
17.Jangan memecah belah dan mengadu domba rakyat apalagi dengan menggunakan SARA,ini akan membahayakan NKRI Satukan bangsa kita dengan BHINEKA TUNGGA IKA
♥️ MERDEKA RAKYAT INDONESIA DALAM BUKU  HASIL KARYA PRESIDEN PRABOWO  PARADOKS INDONESIA KEDAULATAN ADA DITANGAN RAKYAT EKONOMI HARUS DINIKMATI OLEH RAKYAT, BRAVO PRESIDEN PRABOWO PAHLAWAN PATRIOT BANGSA YANG MENGIKUTI JEJAK PAHLAWAN JENDRAL SUDIRMAN, RAKYAT BERSAMAMU  DARI BERBAGAI KALANGAN KECUALI KORUPTOR, PARA MAFIA DAN PENJAJAH EKONOMI BERSERTA ANTEK ANTEKNYA, LOGIKA HUKUM POSITIF DARI AKAL SEHAT BUKAN DISKRIMINASI, INTIMIDASI DAN KRIMINALISASI TERHADAP RAKYAT ,HAL INI HUKUM KUNO/JADUL YANG DITERAPKAN OLEH PENJAJAHAN YANG MEMBUAT RAKYAT TIDAK BISA MAJU TERTINDAS DAN BERONTAK KARENA TIDAK SESUAI DENGAN PRIKEMANUSIAN DAN PRIKEADILAN ,HARAP PRESIDEN PRABOWO MENGHILANGKAN DISKRIMINASI,INTIMIDASI DAN KRIMINALISASI DENGAN KESETARAAN ANTARA RAKYAT DAN PEMERINTAH DIHADAPAN HUKUM POSITIF DARI AKAL SEHAT KARENA AKIBAT  DISKRIMINASI,INTIMIDASI DAN KRIMINALISASI SULIT BANGSA DAN NEGARA MENJADI MAJU PAKTANYA DISKRIMINASI, INTIMIDASI DAN KRIMINALISASI TIDAK BERLAKU DI NEGARA MAJU♥️","pesan untuk yth bapak presiden prabowo manuju bangsa dan negara indonesia kuat dan maju dengan gerakan bekerja keras cerdas berintegritas yang menjujung tinggi moralitas bernegara
1.berantas koruptor koruptor sampai akar- akarnya tanpa tebang pilih dan tanpa kompromi dengan pelaku koruptor dan mafia mafia hukum karena koruptor membuat suatu negara dan bangsa rapuh dan miskin,sahkan undang undang perampasan aset dan jalankan undang undang keterbukaan informasi publik tentang anggaran penyelenggara negara beri pengawasan terhadap koruptor dari tingkat atas sampai kebawah hal ini untuk minimalisir terjadinya korupsi serta mewujudkan negara demokratis dan transparan,sudahi utang negara karena suatu negara kalau utangnya banyak akan mencekik leher rakyat.
2.berantas mafia mafia negara(mafia bumn,mafia pajak,mafia tambang,mafia minyak ,mafia tanah,mafia sawit ,mafia laut,mafia pulau dan mafia mafia lainnya) dan berantas mafia mafia hukum berserta pejabat-pejabat yang melindungi dan membekinginya
3.berantas para elite politik,para penegak hukum dan pejabat-pejabat yang menabrak konstitusi,kebal hukum ,mempermainkan hukum, merekayasa hukum,mengutak atik hukum untuk kepentingan golongan ,berkepala dua,rangkap jabatan, kolusi, nepotisme,berbuat makar,kebijakan tidak pro rakyat hanya untuk kepentingan sekelompok,bekerja hanya untuk uang dan jabatan, hidup bergaya mewah,arogan,melanggar etika,berbuat tercela,nakal,memanipulasi,merekayasa,kepalsuan,ijazah palsu,gelar palsu,dokumen palsu,kebohongan,penipuan,mengadu domba,pemerasan,penindasan,intimidasi, diskriminasi dan kriminalisasi 
4.berantas  antek antek para mafia penjajah ekonomi sehingga rakyat di intimidasi dan dikriminalisasi dan berantas buzzer buzzer pemecah belah bangsa yang mengadu domba antara sesama rakyat serta mengadu domba antara pemerintah dengan rakyat dan berantas mafia mafia berserta pejabat pejabat yang mendanai buzzer buzzer penjilat uang rakyat 
5.berantas bandar judi online dan pejabat- pejabat yang melindunginya,karena judi online tidak sesuai dan betentangan dengan pancasila ketuhanan yang maha esa,serta akibat judi online sangat merusak mencakup kehancuran finansial, menyebabkan masalah kesehatan mental seperti stres dan depresi, merusak hubungan sosial dan keluarga, serta dapat mendorong tindakan kriminal untuk menutupi utang,
6.berantas narkoba,premanisme dan pejabat- pejabat yang membekinginya
7.berantas rentenir dan pinjol yang membuat rakyat miskin bertambah miskin
8.tegakan hukum dengan tegak lurus tanpa direkayasa oleh uang dan mafia mafia hukum 
9.berjuanglah untuk bangsa dan negara bersama seluruh rakyat indonesia dengan musyawarah untuk mufakat yang menjujung tinggi moral berladaskan konstitusi pancasila dan uud45 sebagai penyelengara negara
10.jadikan kritikan rakyat dan unjuk rasa menjadi masukan bukan perlawanan,beri perlindungan dan keamanan dari penyusupan 
11.baik buruknya negara karena elit politik,penegak hukum dan pejabat bukan karena rakyat,kalau elit politik,penegak hukum dan pejabatnya baik dalam kebijakan maka negara menjadi baik kalau elit politik, penegak hukum dan pejabatnya rusak maka negara akan rusak, ada pepatah pribahasa guru kencing berdiri murid kencing berlari oleh karena itu perlu digarisbawahi negara kita milik seluruh rakyat indonesia atau dikenal ibu pertiwi bukan milik golongan dan bukan milik partai, pilihlah orang orang yang cerdas berintegritas untuk dijadikan pemimpin seperti dpr,menteri menteri,kapolri,hakim,jaksa,bumn dan institusi lainnya, karena logikanya negara maju semakin cepat pergantian para elite politik, penegak hukum dan pejabat yang tidak cerdas berintegritas dan tidak kredibel diganti dengan yang cerdas berintegritas dan kredibel maka semakin cepat mencapai kemajuan suatu bangsa dan negara ,dan jangan dibalik orang yang cerdas berintegritas disingkirkan orang yang rusak moralnya dipelihara,karena seorang pemimpin harus cerdas,benar,jujur,adil, rajin,amanah dan berani terhadap mafia mafia negara dan mafia mafia hukum untuk mewujudkan indonesia kuat dan maju mencapai rakyat adil makmur sentosa
12.cerdaskan kehidupan bangsa dengan cara pendidikan gratis dan merangkul anak bangsa yang cerdas dan berintegritas supaya bangsa dan negara kita mampu bersaing dengan negara negara lain dan tingkatkan ilmu pengetahuan,agama,sosial, budaya,sains dan teknologi untuk meraih kemajuan suatu bangsa dan negara yang bermartabat 
13.tingkatkan makanan bergizi yang sehat anti korupsi  untuk rakyat dengan cara makan gratis disekolahan dan menurunkan harga terjangkau  seperti sembako dan daging sapi waspadalah beri pengawasan terhadap makanan dan oknum seperti tragedi kpps pilpres 2019 banyak memakan korban hal ini jangan sampai terjadinya keracunan
14.tingkatkan ekonomi rakyat miskin dengan  membuka lapangan kerja didesa desa dengan cara meningkatkan hasil pertanian sebagai pertahanan pangan dan membuat pabrik dididesa desa untuk mengolah barang baku menjadi barang jadi ,hal ini sudah diterapkan oleh negara negara maju  seperti  as,jerman,cina,jepang,korea selatan dll  dan indonesia akan terwujud apabila para pejabat dpr dan pemerintah bekerja keras cerdas berintegritas menjujung tinggi moralitas dengan azaz keadilan sosial bagi seluruh rakyat indonesia demi untuk kepentingan bangsa dan negara dengan melibatkan anak bangsa yang cerdas berintegritas sesuai dengan  bidangnya masing masing 
15.tingkatkan koperasi desa anti korupsi,saya sangat setuju presiden prabowo untuk meningkatkan koperasi sesuai printah uud 45 karena ekonomi rakyat indonesia baik sektor pertanian,perikanan dan perindustrian dikusai oleh para tengkulak ,sedangkan rakyat korea selatan baik sektor pertanian,perikanan dan perindustriannya dikuasai oleh koperasi, yang saya tidak setuju pelaksanaan yang tidak efektif dan dana koperasi yang ujung ujungnya dikorupsi itulah yang membuat koperasi tidak berjalan,hal ini bagaimana caranya supaya pelaksanaannya efektif untuk minimalisir terjadinya korupsi,karena korupsi adalah musuh negara dan nkri harga mati jangan korupsi
16.tegakan para pejabat, elit politik dan penegak hukum untuk menjalankan kemanusiaan yang adil dan beradab baik perkataan,perbuatan dalam kebijaksanaan untuk mencapai keadilan sosial bagi seluruh rakyat indonesia serta mewujudkan persatuan indonesia,oleh karena itu untuk para pejabat, elit politik dan penegak hukum yang tidak adil dan tidak beradab tidak perlu disopan satunkan dan tidak boleh disatukan dalam pemerintahan pusat maupun daerah baik dilembaga eksekutif, legislatif dan yudikatif karena tidak sesuai dengan etika,akal sehat, dan hati nurani rakyat 
17.jangan memecah belah dan mengadu domba rakyat apalagi dengan menggunakan sara,ini akan membahayakan nkri satukan bangsa kita dengan bhineka tungga ika
♥️ merdeka rakyat indonesia dalam buku  hasil karya presiden prabowo  paradoks indonesia kedaulatan ada ditangan rakyat ekonomi harus dinikmati oleh rakyat, bravo presiden prabowo pahlawan patriot bangsa yang mengikuti jejak pahlawan jendral sudirman, rakyat bersamamu  dari berbagai kalangan kecuali koruptor, para mafia dan penjajah ekonomi berserta antek anteknya, logika hukum positif dari akal sehat bukan diskriminasi, intimidasi dan kriminalisasi terhadap rakyat ,hal ini hukum kuno/jadul yang diterapkan oleh penjajahan yang membuat rakyat tidak bisa maju tertindas dan berontak karena tidak sesuai dengan prikemanusian dan prikeadilan ,harap presiden prabowo menghilangkan diskriminasi,intimidasi dan kriminalisasi dengan kesetaraan antara rakyat dan pemerintah dihadapan hukum positif dari akal sehat karena akibat  diskriminasi,intimidasi dan kriminalisasi sulit bangsa dan negara menjadi maju paktanya diskriminasi, intimidasi dan kriminalisasi tidak berlaku di negara maju♥️"
@tommybulyan,ada saingan dilarang jualan..kecuali beli produk pertamina.hahaha,ada saingan dilarang jualan..kecuali beli produk pertamina.hahaha
@legarhan1481,"Lucunya kalau rugi kok ndk mending beli barang jadi tinggal jual aja dr pada beli barang mentah,,,, contoh beli di Petronas aja kan jg deket n murah disana","lucunya kalau rugi kok ndk mending beli barang jadi tinggal jual aja dr pada beli barang mentah,,,, contoh beli di petronas aja kan jg deket n murah disana"
@erinnberlina4712,Orang pintar harga dirinya derajatnya lebih tinggi tidak mudah dibodohin diperbudak orang seumur hidup tidak mempermalukan dirinya sendiri dibanggakan oleh semua orang,orang pintar harga dirinya derajatnya lebih tinggi tidak mudah dibodohin diperbudak orang seumur hidup tidak mempermalukan dirinya sendiri dibanggakan oleh semua orang
@jatayu9029,"emang tulus bang tapi ya itu lawannya mafia minyak yg udah dr lama tau lah udah banyak koneksi, seperti yang dibilang salah satu owner bisnis minyak terbesar nigeria mafia minyak lebih berbahaya drpd narkoba, bayangin aja nigeria yg penghasil minyak besar & jumlah penduduk lebih kecil dr indo itu impor juga & tiap tahun naik nilai impornya jelaas ada main mafianya","emang tulus bang tapi ya itu lawannya mafia minyak yg udah dr lama tau lah udah banyak koneksi, seperti yang dibilang salah satu owner bisnis minyak terbesar nigeria mafia minyak lebih berbahaya drpd narkoba, bayangin aja nigeria yg penghasil minyak besar & jumlah penduduk lebih kecil dr indo itu impor juga & tiap tahun naik nilai impornya jelaas ada main mafianya"
@remintong2930,Junjungan gimana si mulyono bin mukidi dukung siapa,junjungan gimana si mulyono bin mukidi dukung siapa
@ruslanomar289,Jgn terlalu memuji akhirnya jadi Mulyani pula.,jgn terlalu memuji akhirnya jadi mulyani pula.
@mbahkemo,SELAMA INI DIRUT PERTAMINA  ALUMNI ITB LHOOO  ...... NGAPAIN AJA ????,selama ini dirut pertamina  alumni itb lhooo  ...... ngapain aja ????
@rifkifarhan9006,"​ @mbahkemo dia bilang PhD, bukan ITB. Dibaca dulu lah, jgn nyerocos aja. Termul Termul","​ @mbahkemo dia bilang phd, bukan itb. dibaca dulu lah, jgn nyerocos aja. termul termul"
@gunadi626,"​ @mbahkemo dirut harus ikut kebijakan pemerintah.Tinggal siapa yang berani, kalau pintar jelas tinggal mau jujur apa enggak.","​ @mbahkemo dirut harus ikut kebijakan pemerintah.tinggal siapa yang berani, kalau pintar jelas tinggal mau jujur apa enggak."
@ritzyrasfin3113,Bahlil sekolahnya gak ada di Google ..itu kata dia..jadi tau sendiri kapasitasnya,bahlil sekolahnya gak ada di google ..itu kata dia..jadi tau sendiri kapasitasnya
