author,comment,clean_comment,normalized_comment
@angrahputra7400, @cefi8773 bukan berarti klo kenal itu genknya 😂 gak gtu jga kaleee cara berpikirnya,bukan berarti klo kenal itu genknya gak gtu jga kaleee cara berpikirnya,bukan berarti klo kenal itu genknya gak gtu jga kaleee cara berpikirnya
@arisetiono23,"​​ @NerakaLangit Purbaya itu orang Luhut dan Jokowi...kalo bahlil memang orang Golkar ...Partai Kuning tahu sendiri seperti apa...Prabowo pakai Krn butuh koalisi dari Golkar... Kalo mau ganti Bahlil ya harus konsultasi dg Golkar setuju atau tidak...kalo setuju maka Golkar yg menyodorkan nama... Itu resiko koalisi... Beda seperti Purbaya, meski orang nya luhut dan Jokowi dia orang bebas, profesional bukan orang partai jadi lebih lepas..jadi Prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun...
Masak logika seperti itu saja pada gak paham
..hahaha",purbaya itu orang luhut dan jokowi kalo bahlil memang orang golkar partai kuning tahu sendiri seperti apa prabowo pakai krn butuh koalisi dari golkar kalo mau ganti bahlil ya harus konsultasi dg golkar setuju atau tidak kalo setuju maka golkar yg menyodorkan nama itu resiko koalisi beda seperti purbaya meski orang nya luhut dan jokowi dia orang bebas profesional bukan orang partai jadi lebih lepas jadi prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun masak logika seperti itu saja pada gak paham hahaha,purbaya itu orang luhut dan jokowi kalo bahlil memang orang golkar partai kuning tahu sendiri seperti apa prabowo pakai karena butuh koalisi dari golkar kalo mau ganti bahlil ya harus konsultasi dg golkar setuju atau tidak kalo setuju maka golkar yang menyodorkan nama itu resiko koalisi beda seperti purbaya meski orang nya luhut dan jokowi dia orang bebas profesional bukan orang partai jadi lebih lepas jadi prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun masak logika seperti itu saja pada gak paham hahaha
@handriaja1503,​ @arisetiono23 yes..karena orang partai susah disingkirkan 😂,yes karena orang partai susah disingkirkan,yes karena orang partai susah disingkirkan
@naturesglamping,"memang gitu niat mereka kak parcok ( partai coklat polisi, urusan tambang, kalau oligarki buat korek SDM Indonesia biar keluarga mereka dan Jokowi yg menikmati)",memang gitu niat mereka kak parcok partai coklat polisi urusan tambang kalau oligarki buat korek sdm indonesia biar keluarga mereka dan jokowi yg menikmati,memang gitu niat mereka kak parcok partai coklat polisi urusan tambang kalau oligarki buat korek sdm indonesia biar keluarga mereka dan jokowi yang menikmati
@naturesglamping,​ @cefi8773 kalau ada berita kau baca jangan kau skip😅,kalau ada berita kau baca jangan kau skip,kalau ada berita kau baca jangan kau skip
@steviepramudita9239,"over capacity dan over supply beda, semoga bisa di pahami",over capacity dan over supply beda semoga bisa di pahami,over capacity dan over supply beda semoga bisa di pahami
@sammidul4080,Mafia migas cok,mafia migas cok,mafia migas cok
@engkiyahya4364,Import lebih basah,import lebih basah,import lebih basah
@XHanyakomen,"iya itu,,  pecat pejabat pertamina.",iya itu pecat pejabat pertamina,iya itu pecat pejabat pertamina
@antonsuryajaya9066,"mafioso nya bukan asing..

Tetep Lokal juga tapi bikin perusahaan di singapura biar ga mudah disentuh",mafioso nya bukan asing tetep lokal juga tapi bikin perusahaan di singapura biar ga mudah disentuh,mafioso nya bukan asing tetep lokal juga tapi bikin perusahaan di singapura biar tidak mudah disentuh
@jayzgaban3697,BBM era SBY gak pake etanol bang ?,bbm era sby gak pake etanol bang,bbm era sby gak pake etanol bang
@EgiSujono,Pertamuna isinya 🐁🐁🐁🐁,pertamuna isinya,pertamuna isinya
@nugrohodwi5091,Bukan lagi tersembunyi tp jelas d depan mata,bukan lagi tersembunyi tp jelas d depan mata,bukan lagi tersembunyi tapi jelas d depan mata
@srilisyanti75,Pecaaaat,pecaaaat,pecaaaat
@adipatisetyo9161,​ @srilisyanti75 kalo pecat aga berat. dia ketum golkar. cukup gede kursi golkar di DPR. akan mengganggu stabilitas politik istana pastinya,kalo pecat aga berat dia ketum golkar cukup gede kursi golkar di dpr akan mengganggu stabilitas politik istana pastinya,kalo pecat aga berat dia ketum golkar cukup gede kursi golkar di dpr akan mengganggu stabilitas politik istana pastinya
@IdaSaidah-ji6ys,Wowo gak berani Krn bisa merugikan Wiwi,wowo gak berani krn bisa merugikan wiwi,wowo gak berani karena bisa merugikan wiwi
@klabau,😂😂😂😂😂😂,,
@chairulaziz8114,Smegol,smegol,smegol
@mawarhitam2605,Yg di Sorong Papua Barat sudah 5 th lebih belum ada satupun yg jadi .pdhl yg bekerja HK,yg di sorong papua barat sudah 5 th lebih belum ada satupun yg jadi pdhl yg bekerja hk,yang di sorong papua barat sudah 5 th lebih belum ada satupun yang jadi pdhl yang bekerja hk
@OneHeart-pi9qs,Orang klo kepalanya kecil identik dengan licik😂,orang klo kepalanya kecil identik dengan licik,orang klo kepalanya kecil identik dengan licik
@MAFIA.PENTIL,Mafia hrs diperiksa😂,mafia hrs diperiksa,mafia hrs diperiksa
@steviepramudita9239,"sekedar meluruskan aja, disini banyak yang salah  persepsi

over capacity dengan over supply itu berbeda

over capacity itu dari kapasitas yang ada misal 1 kilang ideal nya bisa produksi minyak 1000 liter perhari, namun kilang ini dipaksa untuk produksi lebih dari itu, misal 1100 liter perhari.

sedangkan over supply itu misal kebutuhan minyak harian di indonesia 900 liter, namun dari pertamina produksi 1000 liter per hari.

yang jadi masalah adalah dengan kilang kilang yang sudah ada dan sudah melakukan produksi lebih dari kapasitas kilang (over capacity) nya ini tidak mampu untuk memenuhi kebutuhan penggunaan minyak di Indonesia, makanya dilakukan impor minyak.

dan yang menjadi pertanyaan dan permasalahan Menkeu itu, kenapa sudah tau kilang kilang yang ada ini tidak mampu memenuhi kebutuhan di Indonesia namun tidak mau membuat kilang baru dan lebih memilih impor.",sekedar meluruskan aja disini banyak yang salah persepsi over capacity dengan over supply itu berbeda over capacity itu dari kapasitas yang ada misal 1 kilang ideal nya bisa produksi minyak 1000 liter perhari namun kilang ini dipaksa untuk produksi lebih dari itu misal 1100 liter perhari sedangkan over supply itu misal kebutuhan minyak harian di indonesia 900 liter namun dari pertamina produksi 1000 liter per hari yang jadi masalah adalah dengan kilang kilang yang sudah ada dan sudah melakukan produksi lebih dari kapasitas kilang over capacity nya ini tidak mampu untuk memenuhi kebutuhan penggunaan minyak di indonesia makanya dilakukan impor minyak dan yang menjadi pertanyaan dan permasalahan menkeu itu kenapa sudah tau kilang kilang yang ada ini tidak mampu memenuhi kebutuhan di indonesia namun tidak mau membuat kilang baru dan lebih memilih impor,sekedar meluruskan saja disini banyak yang salah persepsi over capacity dengan over supply itu berbeda over capacity itu dari kapasitas yang ada misal 1 kilang ideal nya bisa produksi minyak 1000 liter perhari namun kilang ini dipaksa untuk produksi lebih dari itu misal 1100 liter perhari sedangkan over supply itu misal kebutuhan minyak harian di indonesia 900 liter namun dari pertamina produksi 1000 liter per hari yang jadi masalah adalah dengan kilang kilang yang sudah ada dan sudah melakukan produksi lebih dari kapasitas kilang over capacity nya ini tidak mampu untuk memenuhi kebutuhan penggunaan minyak di indonesia makanya dilakukan impor minyak dan yang menjadi pertanyaan dan permasalahan menkeu itu kenapa sudah tau kilang kilang yang ada ini tidak mampu memenuhi kebutuhan di indonesia namun tidak mau membuat kilang baru dan lebih memilih impor
@IsnaPhone-j3b,"Para pemangku jabatan, KLO yg di hatinya,sifat korupsi,",para pemangku jabatan klo yg di hatinya sifat korupsi,para pemangku jabatan klo yang di hatinya sifat korupsi
@nanihastuti7258,"Semangat pak menkeuu, menyala terus rakyat mendukungmu❤❤❤",semangat pak menkeuu menyala terus rakyat mendukungmu,semangat pak menkeuu menyala terus rakyat mendukungmu
@Refkymahaputra.,"Ya,disana memang logikanya,sejak dari duri hingga kini,ya kita harus banyak maklum,",ya disana memang logikanya sejak dari duri hingga kini ya kita harus banyak maklum,ya disana memang logikanya sejak dari duri hingga kini ya kita harus banyak maklum
@dungwalichannel7202,"Mana yg lebih berpeluang korupsi,itu lah yg paling menguntungkan,,,
Itu lah yg ada dalam otak anggota DPR dan menteri"" yg katanya terhormat,,,",mana yg lebih berpeluang korupsi itu lah yg paling menguntungkan itu lah yg ada dalam otak anggota dpr dan menteri yg katanya terhormat,mana yang lebih berpeluang korupsi itu lah yang paling menguntungkan itu lah yang ada dalam otak anggota dpr dan menteri yang katanya terhormat
@Adangdarusalamchannel,"Mendingan buat sendiri, itu kilang minyak.indonesia SDM nya banyak, gunakan SDM yang ada",mendingan buat sendiri itu kilang minyak indonesia sdm nya banyak gunakan sdm yang ada,mendingan buat sendiri itu kilang minyak indonesia sdm nya banyak gunakan sdm yang ada
@arumgondangmanis4580,"Makanya Bangun Kilang Minyak Yang Banyak.
Jangan Impor Melulu.
Enak Importir Dapat Fee Kalau Impor Terus.",makanya bangun kilang minyak yang banyak jangan impor melulu enak importir dapat fee kalau impor terus,makanya bangun kilang minyak yang banyak jangan impor melulu enak importir dapat fee kalau impor terus
@nanangfachrurazi8726,"Omongan Bahlil tukang minum anggur di percaya,,,,,😂😂😂😂😂😂",omongan bahlil tukang minum anggur di percaya,omongan bahlil tukang minum anggur di percaya
@hairudin5621,Kpk wajib audit Bahlil,kpk wajib audit bahlil,kpk wajib audit bahlil
@agusdediferisanto-fu8cu,Maju terus pak Purbaya 👍👍,maju terus pak purbaya,maju terus pak purbaya
@AntiKorupsi89,"Bahlil termul yg juga jadi maling uang rakyat.
Cari rumah Bahlil utk di Nepal kan.",bahlil termul yg juga jadi maling uang rakyat cari rumah bahlil utk di nepal kan,bahlil termul yang juga jadi maling uang rakyat cari rumah bahlil untuk di nepal kan
@sengklek2023,Hahhaaaaaa yg mana overnya boss….. kalo over ga perlu import….yg perlu itu bangun kilang yg banyak biar ga import….,hahhaaaaaa yg mana overnya boss kalo over ga perlu import yg perlu itu bangun kilang yg banyak biar ga import,hahhaaaaaa yang mana overnya boss kalo over tidak perlu import yang perlu itu bangun kilang yang banyak biar tidak import
@BonggaTabahawa,"Pak menkeu..., lapor saja ke presiden biar tentara yg di kerahkan utk membangunnya dan org- org  pertamina di pecat saja diganti dgn org yg loyal kpd  presiden prabowo. Masyarakat  sdh pada tahu bhw pertamina adalah ladang korupsi besar- besaran oleh pihak- pihak tertentu dan pak menkeu tahu persis soal ini.  Pak menkeu umumkan saja siapa saja yg mendapat keuntungan dr kebijakan impor BBM ini. Jgn takut pak menkeu, rakyat dan bangsa Indonesia siap mengawal kalau ada pihak-pihak yg  meradang dgn kebijakan tersebut....",pak menkeu lapor saja ke presiden biar tentara yg di kerahkan utk membangunnya dan org org pertamina di pecat saja diganti dgn org yg loyal kpd presiden prabowo masyarakat sdh pada tahu bhw pertamina adalah ladang korupsi besar besaran oleh pihak pihak tertentu dan pak menkeu tahu persis soal ini pak menkeu umumkan saja siapa saja yg mendapat keuntungan dr kebijakan impor bbm ini jgn takut pak menkeu rakyat dan bangsa indonesia siap mengawal kalau ada pihak pihak yg meradang dgn kebijakan tersebut,pak menkeu lapor saja ke presiden biar tentara yang di kerahkan untuk membangunnya dan org org pertamina di pecat saja diganti dengan org yang loyal kpd presiden prabowo masyarakat sudah pada tahu bhw pertamina adalah ladang korupsi besar besaran oleh pihak pihak tertentu dan pak menkeu tahu persis soal ini pak menkeu umumkan saja siapa saja yang mendapat keuntungan dari kebijakan impor bbm ini jgn takut pak menkeu rakyat dan bangsa indonesia siap mengawal kalau ada pihak pihak yang meradang dengan kebijakan tersebut
@Eco_comp,Pecat bahlil segera !!!,pecat bahlil segera,pecat bahlil segera
@andraprayoga8561,"bangun kilang tdk memenuhi target katanya,tapi itu kan jadi milik kita,setahun bangun kilang 1,5thn kan dah 5 kilang",bangun kilang tdk memenuhi target katanya tapi itu kan jadi milik kita setahun bangun kilang 1 5thn kan dah 5 kilang,bangun kilang tdk memenuhi target katanya tapi itu kan jadi milik kita setahun bangun kilang 1 5thn kan sudah 5 kilang
@hendrajay8945,Percaya pak purbaya,percaya pak purbaya,percaya pak purbaya
@pemudarevolusioner2257,Kalau bapak menteri keuangan terlalu jujur seperti nya nasib nya bakalan kayak Bu susi atau pak Ignatius Jonan 😢😢,kalau bapak menteri keuangan terlalu jujur seperti nya nasib nya bakalan kayak bu susi atau pak ignatius jonan,kalau bapak menteri keuangan terlalu jujur seperti nya nasib nya bakalan kayak bu susi atau pak ignatius jonan
@justinbibirreal,😂 hihihi....,hihihi,hihihi
@tribroto6495,Wkwkkwkwkwk,wkwkkwkwkwk,wkwkkwkwkwk
@arbonk662,Goblin minyak,goblin minyak,goblin minyak
@jemiariyanto1666,"Lah di pikir yg bikin kilang di indo tuh orang asing semua, padahal ya SDM indo jg.

Yg jdi masalah mau atau gk bangun kilang",lah di pikir yg bikin kilang di indo tuh orang asing semua padahal ya sdm indo jg yg jdi masalah mau atau gk bangun kilang,lah di pikir yang bikin kilang di indo tuh orang asing semua padahal ya sdm indo jg yang jdi masalah mau atau tidak bangun kilang
@dwisatrio7921,Wkwkwk ente cerdasbos haa,wkwkwk ente cerdasbos haa,wkwkwk ente cerdasbos haa
@dikafirmansyah6779,Mungkin stok Hibiki dia mulai menipis.,mungkin stok hibiki dia mulai menipis,mungkin stok hibiki dia mulai menipis
@iyhulmonsta,"smeagol itu penuh tipudaya, punya kepribadian ganda.",smeagol itu penuh tipudaya punya kepribadian ganda,smeagol itu penuh tipudaya punya kepribadian ganda
@rahmatsetiawan5388,"Kebalik, yang kpk nanti di audit sama bahlil",kebalik yang kpk nanti di audit sama bahlil,kebalik yang kpk nanti di audit sama bahlil
@iffasilviatulazizah8716,WAOOOO pemberani nich pak mentri....selamat berjuang untuk rakyat pak.semoga selalu dalam lindungan-Nya Aamiin,waoooo pemberani nich pak mentri selamat berjuang untuk rakyat pak semoga selalu dalam lindungan nya aamiin,waoooo pemberani nich pak mentri selamat berjuang untuk rakyat pak semoga selalu dalam lindungan nya aamiin
@AnakJalanan909,"Tadi Nyobain  Beli Pertalite Ternyata Disubsidi Gak Sampai 1.000/Liter...

Jatohnya Tanpa Subsidi Pertalite Sekitar 11.000/Liter...

Biasanya Pake Shell, Vivo, BP Langsung Nyobain Pertalite Langsung Beda Tarikan Motor Gue😂

Padahal Udah Bener Gue Pindah Jadi Warga Non Subsidi Malah Sering Kosong Stok Mereka SPBU Swasta, Balik Lagi Deh Nanti Ke Pertamax, Pertamaxpun Lebih Cepet abis Dibanding Bensin Swasta😂",tadi nyobain beli pertalite ternyata disubsidi gak sampai 1 000 liter jatohnya tanpa subsidi pertalite sekitar 11 000 liter biasanya pake shell vivo bp langsung nyobain pertalite langsung beda tarikan motor gue padahal udah bener gue pindah jadi warga non subsidi malah sering kosong stok mereka spbu swasta balik lagi deh nanti ke pertamax pertamaxpun lebih cepet abis dibanding bensin swasta,tadi nyobain beli pertalite ternyata disubsidi gak sampai 1 000 liter jatohnya tanpa subsidi pertalite sekitar 11 000 liter biasanya pake shell vivo bp langsung nyobain pertalite langsung beda tarikan motor saya padahal sudah bener saya pindah jadi warga non subsidi malah sering kosong stok mereka spbu swasta balik lagi deh nanti ke pertamax pertamaxpun lebih cepet abis dibanding bensin swasta
@leeeungun209,Bahlil si raja tuyul omongam lu ngawur.over kok impor 🤣,bahlil si raja tuyul omongam lu ngawur over kok impor,bahlil si raja tuyul omongam kamu ngawur over kok impor
@arbihermawan8470,"bahlil ki nyata2 melawan rakyat, tp ga ada yg berani menindak wkwk memang hebat betul orang ini..",bahlil ki nyata2 melawan rakyat tp ga ada yg berani menindak wkwk memang hebat betul orang ini,bahlil ki nyata2 melawan rakyat tapi tidak ada yang berani menindak haha memang hebat betul orang ini
@rumadirumadipcp8319,"Tampangnya bahlul kan seperti tuyul,,,,, tuyul kan doyan banget ame duwet,,,, hati2 pk presiden,,,,,,!!!",tampangnya bahlul kan seperti tuyul tuyul kan doyan banget ame duwet hati2 pk presiden,tampangnya bahlul kan seperti tuyul tuyul kan doyan banget ame duwet hati2 pk presiden
@HalusiFubian-rp4ox,Ganti semua petigginya dan cari org yg msh punya hati dan mau rakyat bahagia.,ganti semua petigginya dan cari org yg msh punya hati dan mau rakyat bahagia,ganti semua petigginya dan cari org yang msh punya hati dan mau rakyat bahagia
@uwen1980,Minta d geruduk rumah nya bahlil😂,minta d geruduk rumah nya bahlil,minta d geruduk rumah nya bahlil
@HermanPratama-t3i,Ayo sesama pejabat kabinet saling melindungi😅😅,ayo sesama pejabat kabinet saling melindungi,ayo sesama pejabat kabinet saling melindungi
@anggorosetyo2421,"Hoaammmmm...rente, pemain para cukong partai politik. Ruyam, rakyat di permainkan.",hoaammmmm rente pemain para cukong partai politik ruyam rakyat di permainkan,hoaammmmm rente pemain para cukong partai politik ruyam rakyat di permainkan
@ekayonosuwito3298,"Tugas saya IMPOR BBM, BUKAN BANGUN KILANG. 🤗🤗🤗",tugas saya impor bbm bukan bangun kilang,tugas saya impor bbm bukan bangun kilang
@agungsuranto5208,"Sikat Bahlul...Bahlil jelas2 termul...
Ayo p.purbaya ungkap korupsi Bahlil...",sikat bahlul bahlil jelas2 termul ayo p purbaya ungkap korupsi bahlil,sikat bahlul bahlil jelas2 termul ayo p purbaya ungkap korupsi bahlil
@AgusPika-l8k,Klo bangun kilang baru...mafia minyak gak dapat duit... sebagian dari pejabat itu adalah mafia...!!!😊😊😊,klo bangun kilang baru mafia minyak gak dapat duit sebagian dari pejabat itu adalah mafia,klo bangun kilang baru mafia minyak gak dapat duit sebagian dari pejabat itu adalah mafia
@upperarm884,"Ngibulnya over capacity..
😊",ngibulnya over capacity,ngibulnya over capacity
@alirosheno9473,"Keren Menkeu sekarang berani obrak abrik bongkar mafia, gak kayak SriMulyono yang kerjaannya cuma naikin pajak",keren menkeu sekarang berani obrak abrik bongkar mafia gak kayak srimulyono yang kerjaannya cuma naikin pajak,keren menkeu sekarang berani obrak abrik bongkar mafia gak kayak srimulyono yang kerjaannya hanya naikin pajak
@lukmanmw2063,"bukan cuma purbaya, tapi seluruh rakyat indonesia ga percaya",bukan cuma purbaya tapi seluruh rakyat indonesia ga percaya,bukan hanya purbaya tapi seluruh rakyat indonesia tidak percaya
@kopiku_hitam,"Di Nepal, pejabat yang nggak pro rakyat bisa diseret massa, sementara di Indonesia pejabat seperti itu malah diseret ke acara seremonial. Nyali rakyat makin ciut, sistem makin kebal kritik, dan akhirnya semua cuma jadi tontonan tanpa arah perubahan. Delapan puluh tahun Indonesia merdeka, tapi yang benar-benar merdeka sepertinya cuma para pejabat dari rasa malu dan tanggung jawab.",di nepal pejabat yang nggak pro rakyat bisa diseret massa sementara di indonesia pejabat seperti itu malah diseret ke acara seremonial nyali rakyat makin ciut sistem makin kebal kritik dan akhirnya semua cuma jadi tontonan tanpa arah perubahan delapan puluh tahun indonesia merdeka tapi yang benar benar merdeka sepertinya cuma para pejabat dari rasa malu dan tanggung jawab,di nepal pejabat yang tidak pro rakyat bisa diseret massa sementara di indonesia pejabat seperti itu malah diseret ke acara seremonial nyali rakyat makin ciut sistem makin kebal kritik dan akhirnya semua hanya jadi tontonan tanpa arah perubahan delapan puluh tahun indonesia merdeka tapi yang benar benar merdeka sepertinya hanya para pejabat dari rasa malu dan tanggung jawab
@spra6730,"Purbaya kayak nya org hebat bukan cuma teori2 doank tapi kerja nyata, semoga bisa jd presiden",purbaya kayak nya org hebat bukan cuma teori2 doank tapi kerja nyata semoga bisa jd presiden,purbaya kayak nya org hebat bukan hanya teori2 doank tapi kerja nyata semoga bisa jadi presiden
@sadboiclasher2165,Aura koruptor nya keras banget tuh ..,aura koruptor nya keras banget tuh,aura koruptor nya keras banget tuh
@ASRIONOOKTASADI-v6h,IMPOR BBM DARI SINGAPUR MODUS MAFIA BBM MENCURI UANG NEGARA BUKAN MENAMBAH KILANG BAHKAN MEREKA SIAP MENSABOTASE  KILANG YANG ADA SUPAYA KUOTA IMPORT SEMAKIN BERTAMBAH BANYAK,impor bbm dari singapur modus mafia bbm mencuri uang negara bukan menambah kilang bahkan mereka siap mensabotase kilang yang ada supaya kuota import semakin bertambah banyak,impor bbm dari singapur modus mafia bbm mencuri uang negara bukan menambah kilang bahkan mereka siap mensabotase kilang yang ada supaya kuota import semakin bertambah banyak
@Mulyadibelajartanpabatas86,Sepertinya masyarakat 90  % lebih berpihak ke pak Purbaya,sepertinya masyarakat 90 lebih berpihak ke pak purbaya,sepertinya masyarakat 90 lebih berpihak ke pak purbaya
@whiteowl9265,"Soalnya Ada etanolnya, swasta mana mau dicampur etanol. Apalagi penggunaan didaerah tropis, kena udara panas cepet habis & nguap",soalnya ada etanolnya swasta mana mau dicampur etanol apalagi penggunaan didaerah tropis kena udara panas cepet habis nguap,soalnya ada etanolnya swasta mana mau dicampur etanol apalagi penggunaan didaerah tropis kena udara panas cepet habis nguap
@mbahkemo, @whiteowl9265   baca yg banyak... Amerika Brazil China Vietnam itu udah pake Ethanol bloookkk........  Pekok... makanya banyak baca,baca yg banyak amerika brazil china vietnam itu udah pake ethanol bloookkk pekok makanya banyak baca,baca yang banyak amerika brazil china vietnam itu sudah pake ethanol bloookkk pekok makanya banyak baca
@whiteowl9265,"​ @mbahkemo ya motor atau mobilmu isi aja etanol, ikut Amerika, Inggris atau Brazil. Toh lebih baik kan terbuat dari tumbuh2an",ya motor atau mobilmu isi aja etanol ikut amerika inggris atau brazil toh lebih baik kan terbuat dari tumbuh2an,ya motor atau mobilmu isi saja etanol ikut amerika inggris atau brazil toh lebih baik kan terbuat dari tumbuh2an
@LeiteFrandale,Anjir dibilang tuyul 🤣🤣🤣🤣🤣🤣,anjir dibilang tuyul,anjir dibilang tuyul
@rig7055,"Ucil marucil kan ya dulu yg jadi tuyul di tivi ,sekarang apa sudah ganti toh...😅😅",ucil marucil kan ya dulu yg jadi tuyul di tivi sekarang apa sudah ganti toh,ucil marucil kan ya dulu yang jadi tuyul di tivi sekarang apa sudah ganti toh
@Furqon_Albaeth,"Ah pd komen doang
Kaya brani aja ke rumah bahlil 😂",ah pd komen doang kaya brani aja ke rumah bahlil,ah pd komen saja kaya brani saja ke rumah bahlil
@tsar_bomba_9,gak bisa nambah kilang karna duitnya habis buat gaji petinggi pertamina yg jumlahnya milyaran per orang,gak bisa nambah kilang karna duitnya habis buat gaji petinggi pertamina yg jumlahnya milyaran per orang,gak bisa nambah kilang karena duitnya habis buat gaji petinggi pertamina yang jumlahnya milyaran per orang
@BerjuanghidupSebagaiperintisbu,"Paling senang klo lihat pejabat pada ribut yg diuntungkan pasti masyarakat, semoga kalian ribut terus yaa jangan sampai kalian kompak dan diam karna yg dirugikan pasti masyarakat. 😂😂😂",paling senang klo lihat pejabat pada ribut yg diuntungkan pasti masyarakat semoga kalian ribut terus yaa jangan sampai kalian kompak dan diam karna yg dirugikan pasti masyarakat,paling senang klo lihat pejabat pada ribut yang diuntungkan pasti masyarakat semoga kalian ribut terus yaa jangan sampai kalian kompak dan diam karena yang dirugikan pasti masyarakat
@syahrialagus2862,"Kalau memang over kapasiti, hentikan aja import bbm, kita lihat aja, apa bahlil berani menghentikan import",kalau memang over kapasiti hentikan aja import bbm kita lihat aja apa bahlil berani menghentikan import,kalau memang over kapasiti hentikan saja import bbm kita lihat saja apa bahlil berani menghentikan import
@SerdaduArifin,"Negeri yg penuh para koruptor,hukum tajam kebawah,,,semoga presiden saat ini bisa menyeret koruptor ke tiang gantungan",negeri yg penuh para koruptor hukum tajam kebawah semoga presiden saat ini bisa menyeret koruptor ke tiang gantungan,negeri yang penuh para koruptor hukum tajam kebawah semoga presiden saat ini bisa menyeret koruptor ke tiang gantungan
@WPShortsID,"Mentri itu ada di bawah Presiden, Presiden bisa mengganti Mentri secara langsung...

Penggantian Menkeu sudah betul... Tinggal Pak Prabowo ganti saja Bahlil sama Pak Ignasius Jonan lagi...",mentri itu ada di bawah presiden presiden bisa mengganti mentri secara langsung penggantian menkeu sudah betul tinggal pak prabowo ganti saja bahlil sama pak ignasius jonan lagi,mentri itu ada di bawah presiden presiden bisa mengganti mentri secara langsung penggantian menkeu sudah betul tinggal pak prabowo ganti saja bahlil sama pak ignasius jonan lagi
@jaluprayoga,Emang King Goblin tidak bisa dipercaya!,emang king goblin tidak bisa dipercaya,emang king goblin tidak bisa dipercaya
@zymponichydrosystem7882,"Setiap kali ini diangkat, respons Kementerian dan pemerintah selalu sama karena kita tidak punya SDM yang layak dan infrastruktur yang memadai. Bayangkan 40 tahun lebih jawabannya masih sama. Emang sengaja dibikin seperti itu, karena mengincar fee dan komisi dari arus impor.",setiap kali ini diangkat respons kementerian dan pemerintah selalu sama karena kita tidak punya sdm yang layak dan infrastruktur yang memadai bayangkan 40 tahun lebih jawabannya masih sama emang sengaja dibikin seperti itu karena mengincar fee dan komisi dari arus impor,setiap kali ini diangkat respons kementerian dan pemerintah selalu sama karena kita tidak punya sdm yang layak dan infrastruktur yang memadai bayangkan 40 tahun lebih jawabannya masih sama emang sengaja dibikin seperti itu karena mengincar fee dan komisi dari arus impor
@arissugianto5918,"modus mafia agar selalu import minyak,harusnya bumn dan menteri pertamina si restar ulang,buang virusnya",modus mafia agar selalu import minyak harusnya bumn dan menteri pertamina si restar ulang buang virusnya,modus mafia agar selalu import minyak harusnya bumn dan menteri pertamina si restar ulang buang virusnya
@rusdiyantoppbdc4447,"Mantap Mentri yg kaya gini yg harus didukung,smoga slalu sehat Pak Mentri dan P Prabowo",mantap mentri yg kaya gini yg harus didukung smoga slalu sehat pak mentri dan p prabowo,mantap mentri yang kaya gini yang harus didukung smoga slalu sehat pak mentri dan p prabowo
@rupalaku,"Hidup menkeu !!! Maju terus.
Ayo Pak Presiden, babat siapapun yang menghalangi kemakmuran RI.",hidup menkeu maju terus ayo pak presiden babat siapapun yang menghalangi kemakmuran ri,hidup menkeu maju terus ayo pak presiden babat siapapun yang menghalangi kemakmuran ri
@drLossaDDano,Koreksi pak kilang sungai pakning masih beroperasi ya pak alias masih jalan.....minyak mentahnya dari lirik dan sekitar nya,koreksi pak kilang sungai pakning masih beroperasi ya pak alias masih jalan minyak mentahnya dari lirik dan sekitar nya,koreksi pak kilang sungai pakning masih beroperasi ya pak alias masih jalan minyak mentahnya dari lirik dan sekitar nya
@decha1411,Tolong dong pejabat yang jangan bikin kesel aja,tolong dong pejabat yang jangan bikin kesel aja,tolong dong pejabat yang jangan bikin kesel saja
@dikyjebret,"aura bahlil suram, aura Pak Purbaya Bersinar",aura bahlil suram aura pak purbaya bersinar,aura bahlil suram aura pak purbaya bersinar
@memetwasiatmake5476,Efek koruptor PKI MERAJALELAH😡😡😡,efek koruptor pki merajalelah,efek koruptor pki merajalelah
@Channel-ie7zq,"Memang susah menteri ESDM, salah satu mafiakah dia? Kecoak seperti ini suatu saat akan kena batunya dan semoga saat itu hukum mati buat koruptor dan perampasan aset koruptor dan keluarganya sudah berlaku",memang susah menteri esdm salah satu mafiakah dia kecoak seperti ini suatu saat akan kena batunya dan semoga saat itu hukum mati buat koruptor dan perampasan aset koruptor dan keluarganya sudah berlaku,memang susah menteri esdm salah satu mafiakah dia kecoak seperti ini suatu saat akan kena batunya dan semoga saat itu hukum mati buat koruptor dan perampasan aset koruptor dan keluarganya sudah berlaku
@Dyah_nada,KLO bangun kilang ntar GK bisa impor dong GK bisa korupsi dong GK bisa ngopolos dong..,klo bangun kilang ntar gk bisa impor dong gk bisa korupsi dong gk bisa ngopolos dong,klo bangun kilang ntar tidak bisa impor dong tidak bisa korupsi dong tidak bisa ngopolos dong
