author,comment,clean_comment,tokens,bigrams
@sandikhoiri,"Anda sehat BPK Bahlil yg terhormat!!!!!????
Dari jaman Jokowi sibuk mau buat kilang""minyak.tapi sampai skrng 0 besar","anda sehat bpk bahlil yg terhormat!!!!!????
dari jaman jokowi sibuk mau buat kilang""minyak.tapi sampai skrng 0 besar","['anda', 'sehat', 'bpk', 'bahlil', 'yg', 'terhormat', '!', '!', '!', '!', '!', '?', '?', '?', '?', 'dari', 'jaman', 'jokowi', 'sibuk', 'mau', 'buat', 'kilang', ""''"", 'minyak.tapi', 'sampai', 'skrng', '0', 'besar']","[('anda', 'sehat'), ('sehat', 'bpk'), ('bpk', 'bahlil'), ('bahlil', 'yg'), ('yg', 'terhormat'), ('terhormat', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', 'dari'), ('dari', 'jaman'), ('jaman', 'jokowi'), ('jokowi', 'sibuk'), ('sibuk', 'mau'), ('mau', 'buat'), ('buat', 'kilang'), ('kilang', ""''""), (""''"", 'minyak.tapi'), ('minyak.tapi', 'sampai'), ('sampai', 'skrng'), ('skrng', '0'), ('0', 'besar')]"
@Kucing_Rakyat,"Apapun pernyataan tlol dia, intinya sejak jaman sutowo, kita dipaksa buat import BBM agar mafia asing cuan, nah kacung""nya itu yang ada di indo yang perlu di sikat!","apapun pernyataan tlol dia, intinya sejak jaman sutowo, kita dipaksa buat import bbm agar mafia asing cuan, nah kacung""nya itu yang ada di indo yang perlu di sikat!","['apapun', 'pernyataan', 'tlol', 'dia', ',', 'intinya', 'sejak', 'jaman', 'sutowo', ',', 'kita', 'dipaksa', 'buat', 'import', 'bbm', 'agar', 'mafia', 'asing', 'cuan', ',', 'nah', 'kacung', ""''"", 'nya', 'itu', 'yang', 'ada', 'di', 'indo', 'yang', 'perlu', 'di', 'sikat', '!']","[('apapun', 'pernyataan'), ('pernyataan', 'tlol'), ('tlol', 'dia'), ('dia', ','), (',', 'intinya'), ('intinya', 'sejak'), ('sejak', 'jaman'), ('jaman', 'sutowo'), ('sutowo', ','), (',', 'kita'), ('kita', 'dipaksa'), ('dipaksa', 'buat'), ('buat', 'import'), ('import', 'bbm'), ('bbm', 'agar'), ('agar', 'mafia'), ('mafia', 'asing'), ('asing', 'cuan'), ('cuan', ','), (',', 'nah'), ('nah', 'kacung'), ('kacung', ""''""), (""''"", 'nya'), ('nya', 'itu'), ('itu', 'yang'), ('yang', 'ada'), ('ada', 'di'), ('di', 'indo'), ('indo', 'yang'), ('yang', 'perlu'), ('perlu', 'di'), ('di', 'sikat'), ('sikat', '!')]"
@mg89channel56,"Kalau tidak ada kilang dan butuh minyak, masih masuk logika klo impor. Laaaaah ini over capacity, ngapain impor. Tujuan nya punya kilang baru biar gak impor² lagi. Lanjutkan Pak Pur","kalau tidak ada kilang dan butuh minyak, masih masuk logika klo impor. laaaaah ini over capacity, ngapain impor. tujuan nya punya kilang baru biar gak impor² lagi. lanjutkan pak pur","['kalau', 'tidak', 'ada', 'kilang', 'dan', 'butuh', 'minyak', ',', 'masih', 'masuk', 'logika', 'klo', 'impor', '.', 'laaaaah', 'ini', 'over', 'capacity', ',', 'ngapain', 'impor', '.', 'tujuan', 'nya', 'punya', 'kilang', 'baru', 'biar', 'gak', 'impor²', 'lagi', '.', 'lanjutkan', 'pak', 'pur']","[('kalau', 'tidak'), ('tidak', 'ada'), ('ada', 'kilang'), ('kilang', 'dan'), ('dan', 'butuh'), ('butuh', 'minyak'), ('minyak', ','), (',', 'masih'), ('masih', 'masuk'), ('masuk', 'logika'), ('logika', 'klo'), ('klo', 'impor'), ('impor', '.'), ('.', 'laaaaah'), ('laaaaah', 'ini'), ('ini', 'over'), ('over', 'capacity'), ('capacity', ','), (',', 'ngapain'), ('ngapain', 'impor'), ('impor', '.'), ('.', 'tujuan'), ('tujuan', 'nya'), ('nya', 'punya'), ('punya', 'kilang'), ('kilang', 'baru'), ('baru', 'biar'), ('biar', 'gak'), ('gak', 'impor²'), ('impor²', 'lagi'), ('lagi', '.'), ('.', 'lanjutkan'), ('lanjutkan', 'pak'), ('pak', 'pur')]"
@p34c3b3up0n,"Mulai Jokowi 2014 BBM Pertamina memburuk kualitas nya, sekarang Jokowi punya anak buah yaitu Bahlil di ESDM jadi sulit Indonesia punya kualitas BBM yang baik seperti era SBY.","mulai jokowi 2014 bbm pertamina memburuk kualitas nya, sekarang jokowi punya anak buah yaitu bahlil di esdm jadi sulit indonesia punya kualitas bbm yang baik seperti era sby.","['mulai', 'jokowi', '2014', 'bbm', 'pertamina', 'memburuk', 'kualitas', 'nya', ',', 'sekarang', 'jokowi', 'punya', 'anak', 'buah', 'yaitu', 'bahlil', 'di', 'esdm', 'jadi', 'sulit', 'indonesia', 'punya', 'kualitas', 'bbm', 'yang', 'baik', 'seperti', 'era', 'sby', '.']","[('mulai', 'jokowi'), ('jokowi', '2014'), ('2014', 'bbm'), ('bbm', 'pertamina'), ('pertamina', 'memburuk'), ('memburuk', 'kualitas'), ('kualitas', 'nya'), ('nya', ','), (',', 'sekarang'), ('sekarang', 'jokowi'), ('jokowi', 'punya'), ('punya', 'anak'), ('anak', 'buah'), ('buah', 'yaitu'), ('yaitu', 'bahlil'), ('bahlil', 'di'), ('di', 'esdm'), ('esdm', 'jadi'), ('jadi', 'sulit'), ('sulit', 'indonesia'), ('indonesia', 'punya'), ('punya', 'kualitas'), ('kualitas', 'bbm'), ('bbm', 'yang'), ('yang', 'baik'), ('baik', 'seperti'), ('seperti', 'era'), ('era', 'sby'), ('sby', '.')]"
@fahdih768,Para pejabat dan politisi negeri ini adalah pebisnis minyak. Saatnya mereka dimusnahkan seperti di Nepal.,para pejabat dan politisi negeri ini adalah pebisnis minyak. saatnya mereka dimusnahkan seperti di nepal.,"['para', 'pejabat', 'dan', 'politisi', 'negeri', 'ini', 'adalah', 'pebisnis', 'minyak', '.', 'saatnya', 'mereka', 'dimusnahkan', 'seperti', 'di', 'nepal', '.']","[('para', 'pejabat'), ('pejabat', 'dan'), ('dan', 'politisi'), ('politisi', 'negeri'), ('negeri', 'ini'), ('ini', 'adalah'), ('adalah', 'pebisnis'), ('pebisnis', 'minyak'), ('minyak', '.'), ('.', 'saatnya'), ('saatnya', 'mereka'), ('mereka', 'dimusnahkan'), ('dimusnahkan', 'seperti'), ('seperti', 'di'), ('di', 'nepal'), ('nepal', '.')]"
@ditoseafox,Minyak mentah diekspor murah ke negara upil Singapura terus dibeli impor lagi mahal ke dalam negeri untuk 200 juta rakyat Indonesia. Pertamina rugi katanya gara2 subsidi buat rakyat. 😂. Ngapain dilewatin ke Singapura semua klo ga permainan ordal partai. Sinopec sm Aramco bangun ksh kilang modern gratis ga mau😂,minyak mentah diekspor murah ke negara upil singapura terus dibeli impor lagi mahal ke dalam negeri untuk 200 juta rakyat indonesia. pertamina rugi katanya gara2 subsidi buat rakyat. 😂. ngapain dilewatin ke singapura semua klo ga permainan ordal partai. sinopec sm aramco bangun ksh kilang modern gratis ga mau😂,"['minyak', 'mentah', 'diekspor', 'murah', 'ke', 'negara', 'upil', 'singapura', 'terus', 'dibeli', 'impor', 'lagi', 'mahal', 'ke', 'dalam', 'negeri', 'untuk', '200', 'juta', 'rakyat', 'indonesia', '.', 'pertamina', 'rugi', 'katanya', 'gara2', 'subsidi', 'buat', 'rakyat', '.', '😂', '.', 'ngapain', 'dilewatin', 'ke', 'singapura', 'semua', 'klo', 'ga', 'permainan', 'ordal', 'partai', '.', 'sinopec', 'sm', 'aramco', 'bangun', 'ksh', 'kilang', 'modern', 'gratis', 'ga', 'mau😂']","[('minyak', 'mentah'), ('mentah', 'diekspor'), ('diekspor', 'murah'), ('murah', 'ke'), ('ke', 'negara'), ('negara', 'upil'), ('upil', 'singapura'), ('singapura', 'terus'), ('terus', 'dibeli'), ('dibeli', 'impor'), ('impor', 'lagi'), ('lagi', 'mahal'), ('mahal', 'ke'), ('ke', 'dalam'), ('dalam', 'negeri'), ('negeri', 'untuk'), ('untuk', '200'), ('200', 'juta'), ('juta', 'rakyat'), ('rakyat', 'indonesia'), ('indonesia', '.'), ('.', 'pertamina'), ('pertamina', 'rugi'), ('rugi', 'katanya'), ('katanya', 'gara2'), ('gara2', 'subsidi'), ('subsidi', 'buat'), ('buat', 'rakyat'), ('rakyat', '.'), ('.', '😂'), ('😂', '.'), ('.', 'ngapain'), ('ngapain', 'dilewatin'), ('dilewatin', 'ke'), ('ke', 'singapura'), ('singapura', 'semua'), ('semua', 'klo'), ('klo', 'ga'), ('ga', 'permainan'), ('permainan', 'ordal'), ('ordal', 'partai'), ('partai', '.'), ('.', 'sinopec'), ('sinopec', 'sm'), ('sm', 'aramco'), ('aramco', 'bangun'), ('bangun', 'ksh'), ('ksh', 'kilang'), ('kilang', 'modern'), ('modern', 'gratis'), ('gratis', 'ga'), ('ga', 'mau😂')]"
@KomentatorSpesialis-cv9ro,Anak kecil juga tahu kalau BBM masih deras impor itu nggak mungkin over capacity. Pak Prabowo mohon segera pecat bahlil menteri nggak becus !,anak kecil juga tahu kalau bbm masih deras impor itu nggak mungkin over capacity. pak prabowo mohon segera pecat bahlil menteri nggak becus !,"['anak', 'kecil', 'juga', 'tahu', 'kalau', 'bbm', 'masih', 'deras', 'impor', 'itu', 'nggak', 'mungkin', 'over', 'capacity', '.', 'pak', 'prabowo', 'mohon', 'segera', 'pecat', 'bahlil', 'menteri', 'nggak', 'becus', '!']","[('anak', 'kecil'), ('kecil', 'juga'), ('juga', 'tahu'), ('tahu', 'kalau'), ('kalau', 'bbm'), ('bbm', 'masih'), ('masih', 'deras'), ('deras', 'impor'), ('impor', 'itu'), ('itu', 'nggak'), ('nggak', 'mungkin'), ('mungkin', 'over'), ('over', 'capacity'), ('capacity', '.'), ('.', 'pak'), ('pak', 'prabowo'), ('prabowo', 'mohon'), ('mohon', 'segera'), ('segera', 'pecat'), ('pecat', 'bahlil'), ('bahlil', 'menteri'), ('menteri', 'nggak'), ('nggak', 'becus'), ('becus', '!')]"
@HasbullahNana,Bahlin Duri tersembunyi,bahlin duri tersembunyi,"['bahlin', 'duri', 'tersembunyi']","[('bahlin', 'duri'), ('duri', 'tersembunyi')]"
@taufikridzal3738,"tolong pak prabowo ganti menteri yg ga becus,,angkat menteri yg berkompeten di bidang nya,,jangan lagi bagi² jatah partai koalisi,,,","tolong pak prabowo ganti menteri yg ga becus,,angkat menteri yg berkompeten di bidang nya,,jangan lagi bagi² jatah partai koalisi,,,","['tolong', 'pak', 'prabowo', 'ganti', 'menteri', 'yg', 'ga', 'becus', ',', ',angkat', 'menteri', 'yg', 'berkompeten', 'di', 'bidang', 'nya', ',', ',jangan', 'lagi', 'bagi²', 'jatah', 'partai', 'koalisi', ',', ',', ',']","[('tolong', 'pak'), ('pak', 'prabowo'), ('prabowo', 'ganti'), ('ganti', 'menteri'), ('menteri', 'yg'), ('yg', 'ga'), ('ga', 'becus'), ('becus', ','), (',', ',angkat'), (',angkat', 'menteri'), ('menteri', 'yg'), ('yg', 'berkompeten'), ('berkompeten', 'di'), ('di', 'bidang'), ('bidang', 'nya'), ('nya', ','), (',', ',jangan'), (',jangan', 'lagi'), ('lagi', 'bagi²'), ('bagi²', 'jatah'), ('jatah', 'partai'), ('partai', 'koalisi'), ('koalisi', ','), (',', ','), (',', ',')]"
@freedom7987,Goblin titipan partai 😂😂😂,goblin titipan partai 😂😂😂,"['goblin', 'titipan', 'partai', '😂😂😂']","[('goblin', 'titipan'), ('titipan', 'partai'), ('partai', '😂😂😂')]"
@nurhayatinur3764,Ayo pak menteri keuangan. Bagun kilang minyak jgn mudur.. Rakyat Indonesia hanya untuk pak menteri untuk Mesjtrhakan Rakyat Indonesia.,ayo pak menteri keuangan. bagun kilang minyak jgn mudur.. rakyat indonesia hanya untuk pak menteri untuk mesjtrhakan rakyat indonesia.,"['ayo', 'pak', 'menteri', 'keuangan', '.', 'bagun', 'kilang', 'minyak', 'jgn', 'mudur', '..', 'rakyat', 'indonesia', 'hanya', 'untuk', 'pak', 'menteri', 'untuk', 'mesjtrhakan', 'rakyat', 'indonesia', '.']","[('ayo', 'pak'), ('pak', 'menteri'), ('menteri', 'keuangan'), ('keuangan', '.'), ('.', 'bagun'), ('bagun', 'kilang'), ('kilang', 'minyak'), ('minyak', 'jgn'), ('jgn', 'mudur'), ('mudur', '..'), ('..', 'rakyat'), ('rakyat', 'indonesia'), ('indonesia', 'hanya'), ('hanya', 'untuk'), ('untuk', 'pak'), ('pak', 'menteri'), ('menteri', 'untuk'), ('untuk', 'mesjtrhakan'), ('mesjtrhakan', 'rakyat'), ('rakyat', 'indonesia'), ('indonesia', '.')]"
@lim-lim2270,Ga masuk di akal😂...over kapasitas itu kalo udah ga impor dan hasil dari Pertamina banyak😂...emang emang ini 😂😂😂😂😂😂😂,ga masuk di akal😂...over kapasitas itu kalo udah ga impor dan hasil dari pertamina banyak😂...emang emang ini 😂😂😂😂😂😂😂,"['ga', 'masuk', 'di', 'akal😂', '...', 'over', 'kapasitas', 'itu', 'kalo', 'udah', 'ga', 'impor', 'dan', 'hasil', 'dari', 'pertamina', 'banyak😂', '...', 'emang', 'emang', 'ini', '😂😂😂😂😂😂😂']","[('ga', 'masuk'), ('masuk', 'di'), ('di', 'akal😂'), ('akal😂', '...'), ('...', 'over'), ('over', 'kapasitas'), ('kapasitas', 'itu'), ('itu', 'kalo'), ('kalo', 'udah'), ('udah', 'ga'), ('ga', 'impor'), ('impor', 'dan'), ('dan', 'hasil'), ('hasil', 'dari'), ('dari', 'pertamina'), ('pertamina', 'banyak😂'), ('banyak😂', '...'), ('...', 'emang'), ('emang', 'emang'), ('emang', 'ini'), ('ini', '😂😂😂😂😂😂😂')]"
@ZenZen-o6f,"Kementrian ESDM harusnya dipegang orang dr kalangan profesional...Anehnya masih sj dipegang orang politik dr rezim sebelumnya,dimana Prabowo sebenernya paham betul sprti apa rezim sebelumnya.","kementrian esdm harusnya dipegang orang dr kalangan profesional...anehnya masih sj dipegang orang politik dr rezim sebelumnya,dimana prabowo sebenernya paham betul sprti apa rezim sebelumnya.","['kementrian', 'esdm', 'harusnya', 'dipegang', 'orang', 'dr', 'kalangan', 'profesional', '...', 'anehnya', 'masih', 'sj', 'dipegang', 'orang', 'politik', 'dr', 'rezim', 'sebelumnya', ',', 'dimana', 'prabowo', 'sebenernya', 'paham', 'betul', 'sprti', 'apa', 'rezim', 'sebelumnya', '.']","[('kementrian', 'esdm'), ('esdm', 'harusnya'), ('harusnya', 'dipegang'), ('dipegang', 'orang'), ('orang', 'dr'), ('dr', 'kalangan'), ('kalangan', 'profesional'), ('profesional', '...'), ('...', 'anehnya'), ('anehnya', 'masih'), ('masih', 'sj'), ('sj', 'dipegang'), ('dipegang', 'orang'), ('orang', 'politik'), ('politik', 'dr'), ('dr', 'rezim'), ('rezim', 'sebelumnya'), ('sebelumnya', ','), (',', 'dimana'), ('dimana', 'prabowo'), ('prabowo', 'sebenernya'), ('sebenernya', 'paham'), ('paham', 'betul'), ('betul', 'sprti'), ('sprti', 'apa'), ('apa', 'rezim'), ('rezim', 'sebelumnya'), ('sebelumnya', '.')]"
@antonkartika1874,Kenapa gak ada yg demo Pertamina .,kenapa gak ada yg demo pertamina .,"['kenapa', 'gak', 'ada', 'yg', 'demo', 'pertamina', '.']","[('kenapa', 'gak'), ('gak', 'ada'), ('ada', 'yg'), ('yg', 'demo'), ('demo', 'pertamina'), ('pertamina', '.')]"
@fatzilla3584,Rakyat sudah curiga kl kilang dibakar.,rakyat sudah curiga kl kilang dibakar.,"['rakyat', 'sudah', 'curiga', 'kl', 'kilang', 'dibakar', '.']","[('rakyat', 'sudah'), ('sudah', 'curiga'), ('curiga', 'kl'), ('kl', 'kilang'), ('kilang', 'dibakar'), ('dibakar', '.')]"
@tonewrj3358,Krn sesungguhnya dana import itu lebih menggiurkan duitnya bagi kaum pencuri dr pada buat kilang baru,krn sesungguhnya dana import itu lebih menggiurkan duitnya bagi kaum pencuri dr pada buat kilang baru,"['krn', 'sesungguhnya', 'dana', 'import', 'itu', 'lebih', 'menggiurkan', 'duitnya', 'bagi', 'kaum', 'pencuri', 'dr', 'pada', 'buat', 'kilang', 'baru']","[('krn', 'sesungguhnya'), ('sesungguhnya', 'dana'), ('dana', 'import'), ('import', 'itu'), ('itu', 'lebih'), ('lebih', 'menggiurkan'), ('menggiurkan', 'duitnya'), ('duitnya', 'bagi'), ('bagi', 'kaum'), ('kaum', 'pencuri'), ('pencuri', 'dr'), ('dr', 'pada'), ('pada', 'buat'), ('buat', 'kilang'), ('kilang', 'baru')]"
@cefi8773,"Menkeu yg baru ini jg katagori Genk solo ,, cek saja wawancaranya saat Baru di Lantik, ,secara politik dia minta perlindungan sama jkw","menkeu yg baru ini jg katagori genk solo ,, cek saja wawancaranya saat baru di lantik, ,secara politik dia minta perlindungan sama jkw","['menkeu', 'yg', 'baru', 'ini', 'jg', 'katagori', 'genk', 'solo', ',', ',', 'cek', 'saja', 'wawancaranya', 'saat', 'baru', 'di', 'lantik', ',', ',', 'secara', 'politik', 'dia', 'minta', 'perlindungan', 'sama', 'jkw']","[('menkeu', 'yg'), ('yg', 'baru'), ('baru', 'ini'), ('ini', 'jg'), ('jg', 'katagori'), ('katagori', 'genk'), ('genk', 'solo'), ('solo', ','), (',', ','), (',', 'cek'), ('cek', 'saja'), ('saja', 'wawancaranya'), ('wawancaranya', 'saat'), ('saat', 'baru'), ('baru', 'di'), ('di', 'lantik'), ('lantik', ','), (',', ','), (',', 'secara'), ('secara', 'politik'), ('politik', 'dia'), ('dia', 'minta'), ('minta', 'perlindungan'), ('perlindungan', 'sama'), ('sama', 'jkw')]"
@NerakaLangit,"​ @cefi8773 klo geng solo g mungkin brani nyenggol pertamina, mbg, bahlil, luhut & dlsb 😅","​ @cefi8773 klo geng solo g mungkin brani nyenggol pertamina, mbg, bahlil, luhut & dlsb 😅","['\u200b', '@', 'cefi8773', 'klo', 'geng', 'solo', 'g', 'mungkin', 'brani', 'nyenggol', 'pertamina', ',', 'mbg', ',', 'bahlil', ',', 'luhut', '&', 'dlsb', '😅']","[('\u200b', '@'), ('@', 'cefi8773'), ('cefi8773', 'klo'), ('klo', 'geng'), ('geng', 'solo'), ('solo', 'g'), ('g', 'mungkin'), ('mungkin', 'brani'), ('brani', 'nyenggol'), ('nyenggol', 'pertamina'), ('pertamina', ','), (',', 'mbg'), ('mbg', ','), (',', 'bahlil'), ('bahlil', ','), (',', 'luhut'), ('luhut', '&'), ('&', 'dlsb'), ('dlsb', '😅')]"
@angrahputra7400, @cefi8773 bukan berarti klo kenal itu genknya 😂 gak gtu jga kaleee cara berpikirnya, @cefi8773 bukan berarti klo kenal itu genknya 😂 gak gtu jga kaleee cara berpikirnya,"['@', 'cefi8773', 'bukan', 'berarti', 'klo', 'kenal', 'itu', 'genknya', '😂', 'gak', 'gtu', 'jga', 'kaleee', 'cara', 'berpikirnya']","[('@', 'cefi8773'), ('cefi8773', 'bukan'), ('bukan', 'berarti'), ('berarti', 'klo'), ('klo', 'kenal'), ('kenal', 'itu'), ('itu', 'genknya'), ('genknya', '😂'), ('😂', 'gak'), ('gak', 'gtu'), ('gtu', 'jga'), ('jga', 'kaleee'), ('kaleee', 'cara'), ('cara', 'berpikirnya')]"
@arisetiono23,"​​ @NerakaLangit Purbaya itu orang Luhut dan Jokowi...kalo bahlil memang orang Golkar ...Partai Kuning tahu sendiri seperti apa...Prabowo pakai Krn butuh koalisi dari Golkar... Kalo mau ganti Bahlil ya harus konsultasi dg Golkar setuju atau tidak...kalo setuju maka Golkar yg menyodorkan nama... Itu resiko koalisi... Beda seperti Purbaya, meski orang nya luhut dan Jokowi dia orang bebas, profesional bukan orang partai jadi lebih lepas..jadi Prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun...
Masak logika seperti itu saja pada gak paham
..hahaha","​​ @nerakalangit purbaya itu orang luhut dan jokowi...kalo bahlil memang orang golkar ...partai kuning tahu sendiri seperti apa...prabowo pakai krn butuh koalisi dari golkar... kalo mau ganti bahlil ya harus konsultasi dg golkar setuju atau tidak...kalo setuju maka golkar yg menyodorkan nama... itu resiko koalisi... beda seperti purbaya, meski orang nya luhut dan jokowi dia orang bebas, profesional bukan orang partai jadi lebih lepas..jadi prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun...
masak logika seperti itu saja pada gak paham
..hahaha","['\u200b\u200b', '@', 'nerakalangit', 'purbaya', 'itu', 'orang', 'luhut', 'dan', 'jokowi', '...', 'kalo', 'bahlil', 'memang', 'orang', 'golkar', '...', 'partai', 'kuning', 'tahu', 'sendiri', 'seperti', 'apa', '...', 'prabowo', 'pakai', 'krn', 'butuh', 'koalisi', 'dari', 'golkar', '...', 'kalo', 'mau', 'ganti', 'bahlil', 'ya', 'harus', 'konsultasi', 'dg', 'golkar', 'setuju', 'atau', 'tidak', '...', 'kalo', 'setuju', 'maka', 'golkar', 'yg', 'menyodorkan', 'nama', '...', 'itu', 'resiko', 'koalisi', '...', 'beda', 'seperti', 'purbaya', ',', 'meski', 'orang', 'nya', 'luhut', 'dan', 'jokowi', 'dia', 'orang', 'bebas', ',', 'profesional', 'bukan', 'orang', 'partai', 'jadi', 'lebih', 'lepas', '..', 'jadi', 'prabowo', 'tunjuk', 'dia', 'jadi', 'menteri', 'lebih', 'enak', 'tanpa', 'harus', 'lewat', 'persetujuan', 'partai', 'manapun', '...', 'masak', 'logika', 'seperti', 'itu', 'saja', 'pada', 'gak', 'paham', '..', 'hahaha']","[('\u200b\u200b', '@'), ('@', 'nerakalangit'), ('nerakalangit', 'purbaya'), ('purbaya', 'itu'), ('itu', 'orang'), ('orang', 'luhut'), ('luhut', 'dan'), ('dan', 'jokowi'), ('jokowi', '...'), ('...', 'kalo'), ('kalo', 'bahlil'), ('bahlil', 'memang'), ('memang', 'orang'), ('orang', 'golkar'), ('golkar', '...'), ('...', 'partai'), ('partai', 'kuning'), ('kuning', 'tahu'), ('tahu', 'sendiri'), ('sendiri', 'seperti'), ('seperti', 'apa'), ('apa', '...'), ('...', 'prabowo'), ('prabowo', 'pakai'), ('pakai', 'krn'), ('krn', 'butuh'), ('butuh', 'koalisi'), ('koalisi', 'dari'), ('dari', 'golkar'), ('golkar', '...'), ('...', 'kalo'), ('kalo', 'mau'), ('mau', 'ganti'), ('ganti', 'bahlil'), ('bahlil', 'ya'), ('ya', 'harus'), ('harus', 'konsultasi'), ('konsultasi', 'dg'), ('dg', 'golkar'), ('golkar', 'setuju'), ('setuju', 'atau'), ('atau', 'tidak'), ('tidak', '...'), ('...', 'kalo'), ('kalo', 'setuju'), ('setuju', 'maka'), ('maka', 'golkar'), ('golkar', 'yg'), ('yg', 'menyodorkan'), ('menyodorkan', 'nama'), ('nama', '...'), ('...', 'itu'), ('itu', 'resiko'), ('resiko', 'koalisi'), ('koalisi', '...'), ('...', 'beda'), ('beda', 'seperti'), ('seperti', 'purbaya'), ('purbaya', ','), (',', 'meski'), ('meski', 'orang'), ('orang', 'nya'), ('nya', 'luhut'), ('luhut', 'dan'), ('dan', 'jokowi'), ('jokowi', 'dia'), ('dia', 'orang'), ('orang', 'bebas'), ('bebas', ','), (',', 'profesional'), ('profesional', 'bukan'), ('bukan', 'orang'), ('orang', 'partai'), ('partai', 'jadi'), ('jadi', 'lebih'), ('lebih', 'lepas'), ('lepas', '..'), ('..', 'jadi'), ('jadi', 'prabowo'), ('prabowo', 'tunjuk'), ('tunjuk', 'dia'), ('dia', 'jadi'), ('jadi', 'menteri'), ('menteri', 'lebih'), ('lebih', 'enak'), ('enak', 'tanpa'), ('tanpa', 'harus'), ('harus', 'lewat'), ('lewat', 'persetujuan'), ('persetujuan', 'partai'), ('partai', 'manapun'), ('manapun', '...'), ('...', 'masak'), ('masak', 'logika'), ('logika', 'seperti'), ('seperti', 'itu'), ('itu', 'saja'), ('saja', 'pada'), ('pada', 'gak'), ('gak', 'paham'), ('paham', '..'), ('..', 'hahaha')]"
@handriaja1503,​ @arisetiono23 yes..karena orang partai susah disingkirkan 😂,​ @arisetiono23 yes..karena orang partai susah disingkirkan 😂,"['\u200b', '@', 'arisetiono23', 'yes', '..', 'karena', 'orang', 'partai', 'susah', 'disingkirkan', '😂']","[('\u200b', '@'), ('@', 'arisetiono23'), ('arisetiono23', 'yes'), ('yes', '..'), ('..', 'karena'), ('karena', 'orang'), ('orang', 'partai'), ('partai', 'susah'), ('susah', 'disingkirkan'), ('disingkirkan', '😂')]"
@naturesglamping,"memang gitu niat mereka kak parcok ( partai coklat polisi, urusan tambang, kalau oligarki buat korek SDM Indonesia biar keluarga mereka dan Jokowi yg menikmati)","memang gitu niat mereka kak parcok ( partai coklat polisi, urusan tambang, kalau oligarki buat korek sdm indonesia biar keluarga mereka dan jokowi yg menikmati)","['memang', 'gitu', 'niat', 'mereka', 'kak', 'parcok', '(', 'partai', 'coklat', 'polisi', ',', 'urusan', 'tambang', ',', 'kalau', 'oligarki', 'buat', 'korek', 'sdm', 'indonesia', 'biar', 'keluarga', 'mereka', 'dan', 'jokowi', 'yg', 'menikmati', ')']","[('memang', 'gitu'), ('gitu', 'niat'), ('niat', 'mereka'), ('mereka', 'kak'), ('kak', 'parcok'), ('parcok', '('), ('(', 'partai'), ('partai', 'coklat'), ('coklat', 'polisi'), ('polisi', ','), (',', 'urusan'), ('urusan', 'tambang'), ('tambang', ','), (',', 'kalau'), ('kalau', 'oligarki'), ('oligarki', 'buat'), ('buat', 'korek'), ('korek', 'sdm'), ('sdm', 'indonesia'), ('indonesia', 'biar'), ('biar', 'keluarga'), ('keluarga', 'mereka'), ('mereka', 'dan'), ('dan', 'jokowi'), ('jokowi', 'yg'), ('yg', 'menikmati'), ('menikmati', ')')]"
@naturesglamping,​ @cefi8773 kalau ada berita kau baca jangan kau skip😅,​ @cefi8773 kalau ada berita kau baca jangan kau skip😅,"['\u200b', '@', 'cefi8773', 'kalau', 'ada', 'berita', 'kau', 'baca', 'jangan', 'kau', 'skip😅']","[('\u200b', '@'), ('@', 'cefi8773'), ('cefi8773', 'kalau'), ('kalau', 'ada'), ('ada', 'berita'), ('berita', 'kau'), ('kau', 'baca'), ('baca', 'jangan'), ('jangan', 'kau'), ('kau', 'skip😅')]"
@steviepramudita9239,"over capacity dan over supply beda, semoga bisa di pahami","over capacity dan over supply beda, semoga bisa di pahami","['over', 'capacity', 'dan', 'over', 'supply', 'beda', ',', 'semoga', 'bisa', 'di', 'pahami']","[('over', 'capacity'), ('capacity', 'dan'), ('dan', 'over'), ('over', 'supply'), ('supply', 'beda'), ('beda', ','), (',', 'semoga'), ('semoga', 'bisa'), ('bisa', 'di'), ('di', 'pahami')]"
@sammidul4080,Mafia migas cok,mafia migas cok,"['mafia', 'migas', 'cok']","[('mafia', 'migas'), ('migas', 'cok')]"
@engkiyahya4364,Import lebih basah,import lebih basah,"['import', 'lebih', 'basah']","[('import', 'lebih'), ('lebih', 'basah')]"
@XHanyakomen,"iya itu,,  pecat pejabat pertamina.","iya itu,,  pecat pejabat pertamina.","['iya', 'itu', ',', ',', 'pecat', 'pejabat', 'pertamina', '.']","[('iya', 'itu'), ('itu', ','), (',', ','), (',', 'pecat'), ('pecat', 'pejabat'), ('pejabat', 'pertamina'), ('pertamina', '.')]"
