author,comment
@fahdih768,Para pejabat dan politisi negeri ini adalah pebisnis minyak. Saatnya mereka dimusnahkan seperti di Nepal.
@ditoseafox,Minyak mentah diekspor murah ke negara upil Singapura terus dibeli impor lagi mahal ke dalam negeri untuk 200 juta rakyat Indonesia. Pertamina rugi katanya gara2 subsidi buat rakyat. 😂. Ngapain dilewatin ke Singapura semua klo ga permainan ordal partai. Sinopec sm Aramco bangun ksh kilang modern gratis ga mau😂
@KomentatorSpesialis-cv9ro,Anak kecil juga tahu kalau BBM masih deras impor itu nggak mungkin over capacity. Pak Prabowo mohon segera pecat bahlil menteri nggak becus !
@HasbullahNana,Bahlin Duri tersembunyi
@taufikridzal3738,"tolong pak prabowo ganti menteri yg ga becus,,angkat menteri yg berkompeten di bidang nya,,jangan lagi bagi² jatah partai koalisi,,,"
@freedom7987,Goblin titipan partai 😂😂😂
@nurhayatinur3764,Ayo pak menteri keuangan. Bagun kilang minyak jgn mudur.. Rakyat Indonesia hanya untuk pak menteri untuk Mesjtrhakan Rakyat Indonesia.
@lim-lim2270,Ga masuk di akal😂...over kapasitas itu kalo udah ga impor dan hasil dari Pertamina banyak😂...emang emang ini 😂😂😂😂😂😂😂
@ZenZen-o6f,"Kementrian ESDM harusnya dipegang orang dr kalangan profesional...Anehnya masih sj dipegang orang politik dr rezim sebelumnya,dimana Prabowo sebenernya paham betul sprti apa rezim sebelumnya."
@antonkartika1874,Kenapa gak ada yg demo Pertamina .
@fatzilla3584,Rakyat sudah curiga kl kilang dibakar.
@tonewrj3358,Krn sesungguhnya dana import itu lebih menggiurkan duitnya bagi kaum pencuri dr pada buat kilang baru
@cefi8773,"Menkeu yg baru ini jg katagori Genk solo ,, cek saja wawancaranya saat Baru di Lantik, ,secara politik dia minta perlindungan sama jkw"
@NerakaLangit,"​ @cefi8773 klo geng solo g mungkin brani nyenggol pertamina, mbg, bahlil, luhut & dlsb 😅"
@angrahputra7400, @cefi8773 bukan berarti klo kenal itu genknya 😂 gak gtu jga kaleee cara berpikirnya
@arisetiono23,"​​ @NerakaLangit Purbaya itu orang Luhut dan Jokowi...kalo bahlil memang orang Golkar ...Partai Kuning tahu sendiri seperti apa...Prabowo pakai Krn butuh koalisi dari Golkar... Kalo mau ganti Bahlil ya harus konsultasi dg Golkar setuju atau tidak...kalo setuju maka Golkar yg menyodorkan nama... Itu resiko koalisi... Beda seperti Purbaya, meski orang nya luhut dan Jokowi dia orang bebas, profesional bukan orang partai jadi lebih lepas..jadi Prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun...
Masak logika seperti itu saja pada gak paham
..hahaha"
@handriaja1503,​ @arisetiono23 yes..karena orang partai susah disingkirkan 😂
@naturesglamping,"memang gitu niat mereka kak parcok ( partai coklat polisi, urusan tambang, kalau oligarki buat korek SDM Indonesia biar keluarga mereka dan Jokowi yg menikmati)"
@naturesglamping,​ @cefi8773 kalau ada berita kau baca jangan kau skip😅
@steviepramudita9239,"over capacity dan over supply beda, semoga bisa di pahami"
@sammidul4080,Mafia migas cok
@engkiyahya4364,Import lebih basah
@XHanyakomen,"iya itu,,  pecat pejabat pertamina."
@antonsuryajaya9066,"mafioso nya bukan asing..

Tetep Lokal juga tapi bikin perusahaan di singapura biar ga mudah disentuh"
@jayzgaban3697,BBM era SBY gak pake etanol bang ?
@EgiSujono,Pertamuna isinya 🐁🐁🐁🐁
@nugrohodwi5091,Bukan lagi tersembunyi tp jelas d depan mata
@srilisyanti75,Pecaaaat
@adipatisetyo9161,​ @srilisyanti75 kalo pecat aga berat. dia ketum golkar. cukup gede kursi golkar di DPR. akan mengganggu stabilitas politik istana pastinya
@IdaSaidah-ji6ys,Wowo gak berani Krn bisa merugikan Wiwi
@klabau,😂😂😂😂😂😂
@chairulaziz8114,Smegol
@mawarhitam2605,Yg di Sorong Papua Barat sudah 5 th lebih belum ada satupun yg jadi .pdhl yg bekerja HK
@OneHeart-pi9qs,Orang klo kepalanya kecil identik dengan licik😂
@MAFIA.PENTIL,Mafia hrs diperiksa😂
@steviepramudita9239,"sekedar meluruskan aja, disini banyak yang salah  persepsi

over capacity dengan over supply itu berbeda

over capacity itu dari kapasitas yang ada misal 1 kilang ideal nya bisa produksi minyak 1000 liter perhari, namun kilang ini dipaksa untuk produksi lebih dari itu, misal 1100 liter perhari.

sedangkan over supply itu misal kebutuhan minyak harian di indonesia 900 liter, namun dari pertamina produksi 1000 liter per hari.

yang jadi masalah adalah dengan kilang kilang yang sudah ada dan sudah melakukan produksi lebih dari kapasitas kilang (over capacity) nya ini tidak mampu untuk memenuhi kebutuhan penggunaan minyak di Indonesia, makanya dilakukan impor minyak.

dan yang menjadi pertanyaan dan permasalahan Menkeu itu, kenapa sudah tau kilang kilang yang ada ini tidak mampu memenuhi kebutuhan di Indonesia namun tidak mau membuat kilang baru dan lebih memilih impor."
@IsnaPhone-j3b,"Para pemangku jabatan, KLO yg di hatinya,sifat korupsi,"
@nanihastuti7258,"Semangat pak menkeuu, menyala terus rakyat mendukungmu❤❤❤"
@Refkymahaputra.,"Ya,disana memang logikanya,sejak dari duri hingga kini,ya kita harus banyak maklum,"
@dungwalichannel7202,"Mana yg lebih berpeluang korupsi,itu lah yg paling menguntungkan,,,
Itu lah yg ada dalam otak anggota DPR dan menteri"" yg katanya terhormat,,,"
@Adangdarusalamchannel,"Mendingan buat sendiri, itu kilang minyak.indonesia SDM nya banyak, gunakan SDM yang ada"
@arumgondangmanis4580,"Makanya Bangun Kilang Minyak Yang Banyak.
Jangan Impor Melulu.
Enak Importir Dapat Fee Kalau Impor Terus."
@nanangfachrurazi8726,"Omongan Bahlil tukang minum anggur di percaya,,,,,😂😂😂😂😂😂"
@hairudin5621,Kpk wajib audit Bahlil
@agusdediferisanto-fu8cu,Maju terus pak Purbaya 👍👍
@AntiKorupsi89,"Bahlil termul yg juga jadi maling uang rakyat.
Cari rumah Bahlil utk di Nepal kan."
@sengklek2023,Hahhaaaaaa yg mana overnya boss….. kalo over ga perlu import….yg perlu itu bangun kilang yg banyak biar ga import….
@BonggaTabahawa,"Pak menkeu..., lapor saja ke presiden biar tentara yg di kerahkan utk membangunnya dan org- org  pertamina di pecat saja diganti dgn org yg loyal kpd  presiden prabowo. Masyarakat  sdh pada tahu bhw pertamina adalah ladang korupsi besar- besaran oleh pihak- pihak tertentu dan pak menkeu tahu persis soal ini.  Pak menkeu umumkan saja siapa saja yg mendapat keuntungan dr kebijakan impor BBM ini. Jgn takut pak menkeu, rakyat dan bangsa Indonesia siap mengawal kalau ada pihak-pihak yg  meradang dgn kebijakan tersebut...."
@Eco_comp,Pecat bahlil segera !!!
@andraprayoga8561,"bangun kilang tdk memenuhi target katanya,tapi itu kan jadi milik kita,setahun bangun kilang 1,5thn kan dah 5 kilang"
@hendrajay8945,Percaya pak purbaya
@pemudarevolusioner2257,Kalau bapak menteri keuangan terlalu jujur seperti nya nasib nya bakalan kayak Bu susi atau pak Ignatius Jonan 😢😢
@justinbibirreal,😂 hihihi....
@tribroto6495,Wkwkkwkwkwk
@arbonk662,Goblin minyak
@jemiariyanto1666,"Lah di pikir yg bikin kilang di indo tuh orang asing semua, padahal ya SDM indo jg.

Yg jdi masalah mau atau gk bangun kilang"
@dwisatrio7921,Wkwkwk ente cerdasbos haa
@dikafirmansyah6779,Mungkin stok Hibiki dia mulai menipis.
@iyhulmonsta,"smeagol itu penuh tipudaya, punya kepribadian ganda."
@rahmatsetiawan5388,"Kebalik, yang kpk nanti di audit sama bahlil"
@iffasilviatulazizah8716,WAOOOO pemberani nich pak mentri....selamat berjuang untuk rakyat pak.semoga selalu dalam lindungan-Nya Aamiin
@AnakJalanan909,"Tadi Nyobain  Beli Pertalite Ternyata Disubsidi Gak Sampai 1.000/Liter...

Jatohnya Tanpa Subsidi Pertalite Sekitar 11.000/Liter...

Biasanya Pake Shell, Vivo, BP Langsung Nyobain Pertalite Langsung Beda Tarikan Motor Gue😂

Padahal Udah Bener Gue Pindah Jadi Warga Non Subsidi Malah Sering Kosong Stok Mereka SPBU Swasta, Balik Lagi Deh Nanti Ke Pertamax, Pertamaxpun Lebih Cepet abis Dibanding Bensin Swasta😂"
@leeeungun209,Bahlil si raja tuyul omongam lu ngawur.over kok impor 🤣
@arbihermawan8470,"bahlil ki nyata2 melawan rakyat, tp ga ada yg berani menindak wkwk memang hebat betul orang ini.."
@rumadirumadipcp8319,"Tampangnya bahlul kan seperti tuyul,,,,, tuyul kan doyan banget ame duwet,,,, hati2 pk presiden,,,,,,!!!"
@HalusiFubian-rp4ox,Ganti semua petigginya dan cari org yg msh punya hati dan mau rakyat bahagia.
@uwen1980,Minta d geruduk rumah nya bahlil😂
@HermanPratama-t3i,Ayo sesama pejabat kabinet saling melindungi😅😅
@anggorosetyo2421,"Hoaammmmm...rente, pemain para cukong partai politik. Ruyam, rakyat di permainkan."
@ekayonosuwito3298,"Tugas saya IMPOR BBM, BUKAN BANGUN KILANG. 🤗🤗🤗"
@agungsuranto5208,"Sikat Bahlul...Bahlil jelas2 termul...
Ayo p.purbaya ungkap korupsi Bahlil..."
@AgusPika-l8k,Klo bangun kilang baru...mafia minyak gak dapat duit... sebagian dari pejabat itu adalah mafia...!!!😊😊😊
@upperarm884,"Ngibulnya over capacity..
😊"
@alirosheno9473,"Keren Menkeu sekarang berani obrak abrik bongkar mafia, gak kayak SriMulyono yang kerjaannya cuma naikin pajak"
@lukmanmw2063,"bukan cuma purbaya, tapi seluruh rakyat indonesia ga percaya"
@kopiku_hitam,"Di Nepal, pejabat yang nggak pro rakyat bisa diseret massa, sementara di Indonesia pejabat seperti itu malah diseret ke acara seremonial. Nyali rakyat makin ciut, sistem makin kebal kritik, dan akhirnya semua cuma jadi tontonan tanpa arah perubahan. Delapan puluh tahun Indonesia merdeka, tapi yang benar-benar merdeka sepertinya cuma para pejabat dari rasa malu dan tanggung jawab."
@spra6730,"Purbaya kayak nya org hebat bukan cuma teori2 doank tapi kerja nyata, semoga bisa jd presiden"
@sadboiclasher2165,Aura koruptor nya keras banget tuh ..
@ASRIONOOKTASADI-v6h,IMPOR BBM DARI SINGAPUR MODUS MAFIA BBM MENCURI UANG NEGARA BUKAN MENAMBAH KILANG BAHKAN MEREKA SIAP MENSABOTASE  KILANG YANG ADA SUPAYA KUOTA IMPORT SEMAKIN BERTAMBAH BANYAK
@Mulyadibelajartanpabatas86,Sepertinya masyarakat 90  % lebih berpihak ke pak Purbaya
@whiteowl9265,"Soalnya Ada etanolnya, swasta mana mau dicampur etanol. Apalagi penggunaan didaerah tropis, kena udara panas cepet habis & nguap"
@mbahkemo, @whiteowl9265   baca yg banyak... Amerika Brazil China Vietnam itu udah pake Ethanol bloookkk........  Pekok... makanya banyak baca
@whiteowl9265,"​ @mbahkemo ya motor atau mobilmu isi aja etanol, ikut Amerika, Inggris atau Brazil. Toh lebih baik kan terbuat dari tumbuh2an"
@LeiteFrandale,Anjir dibilang tuyul 🤣🤣🤣🤣🤣🤣
@rig7055,"Ucil marucil kan ya dulu yg jadi tuyul di tivi ,sekarang apa sudah ganti toh...😅😅"
@Furqon_Albaeth,"Ah pd komen doang
Kaya brani aja ke rumah bahlil 😂"
@tsar_bomba_9,gak bisa nambah kilang karna duitnya habis buat gaji petinggi pertamina yg jumlahnya milyaran per orang
@BerjuanghidupSebagaiperintisbu,"Paling senang klo lihat pejabat pada ribut yg diuntungkan pasti masyarakat, semoga kalian ribut terus yaa jangan sampai kalian kompak dan diam karna yg dirugikan pasti masyarakat. 😂😂😂"
@syahrialagus2862,"Kalau memang over kapasiti, hentikan aja import bbm, kita lihat aja, apa bahlil berani menghentikan import"
@SerdaduArifin,"Negeri yg penuh para koruptor,hukum tajam kebawah,,,semoga presiden saat ini bisa menyeret koruptor ke tiang gantungan"
@WPShortsID,"Mentri itu ada di bawah Presiden, Presiden bisa mengganti Mentri secara langsung...

Penggantian Menkeu sudah betul... Tinggal Pak Prabowo ganti saja Bahlil sama Pak Ignasius Jonan lagi..."
@jaluprayoga,Emang King Goblin tidak bisa dipercaya!
@zymponichydrosystem7882,"Setiap kali ini diangkat, respons Kementerian dan pemerintah selalu sama karena kita tidak punya SDM yang layak dan infrastruktur yang memadai. Bayangkan 40 tahun lebih jawabannya masih sama. Emang sengaja dibikin seperti itu, karena mengincar fee dan komisi dari arus impor."
@arissugianto5918,"modus mafia agar selalu import minyak,harusnya bumn dan menteri pertamina si restar ulang,buang virusnya"
@rusdiyantoppbdc4447,"Mantap Mentri yg kaya gini yg harus didukung,smoga slalu sehat Pak Mentri dan P Prabowo"
@rupalaku,"Hidup menkeu !!! Maju terus.
Ayo Pak Presiden, babat siapapun yang menghalangi kemakmuran RI."
@drLossaDDano,Koreksi pak kilang sungai pakning masih beroperasi ya pak alias masih jalan.....minyak mentahnya dari lirik dan sekitar nya
@decha1411,Tolong dong pejabat yang jangan bikin kesel aja
@dikyjebret,"aura bahlil suram, aura Pak Purbaya Bersinar"
@memetwasiatmake5476,Efek koruptor PKI MERAJALELAH😡😡😡
@Channel-ie7zq,"Memang susah menteri ESDM, salah satu mafiakah dia? Kecoak seperti ini suatu saat akan kena batunya dan semoga saat itu hukum mati buat koruptor dan perampasan aset koruptor dan keluarganya sudah berlaku"
@Dyah_nada,KLO bangun kilang ntar GK bisa impor dong GK bisa korupsi dong GK bisa ngopolos dong..
@Floosyna,"Fun fact klo impor per barrel under 50$, ak kaget si dia blgnya 10.000$ per barrel. klo gitu Pertamina ga bagi dividen sahamnya karena laba ruginya terlalu besar klo mengikuti harga per barrel 10.000$ :)"
@zzz-ps3gs,Baru bangun tidur langsung halu😅
@wahyupirmansyah7322,"Ya Allah ini Bahlul kpn di copot sih, gas melon blunder, tambang, skrg BBM. Problematik bgt"
@taufiqrahman6224,Penasaran apakah DPR bisa sidang mempertemukan Bahlil dan Pak Purbaya di sidang dan dihadiri Pak Prabowo. Biar dia tahu dari kedua menterinya mana yang harus dicopot karena pernyataan kontradiktifnya dengan aktual lapangan
@MrxXride,"Ayo kita sama2 awasi setiap gerakan pejabat kita, akan terlihat jelas siapa yang bekerja memikirkan rakyat dan siapa yang cuma bekerja untuk kepentingan perut mereka sendiri, tandai muka2 para pejabat korup dan hanya memikirkan perut sendiri, ganyang skalian,😂😂"
@syahruljailani9507,sya berharap ada mntri sekelas amran sulaiman di mentri esdm... beliau telah banyak memenjarakan pejabat2 di pertanian dan bos2 besar termasuk mafia impor dn mntri esdm juga harusnya bisa melakukan jalan yg sama
@agengrachmawan4404,Coba audit total sampai karyawan karyawannya pertamina.... gandeng kpk pasti ada yang kena
@panditdjimat3009,"Purbaya vs Bahlil
S3 Luar negeri dipaksa berhadapan dengan IPK 2 koma."
@yodhawillys,Tidak ada kemajuan. Tolong pak presiden. Negara ini butuh orang yang tepat dalam memimpin usaha milik negara.
@syahruljailani9507,kalian sdh paham kan knpa harga bensin selalu naik dlm waktu yg berdekatan selama beberapa tahun terakhir... ini ni pelakunya mafia2 migas dan termasuk mafia impornya
@panda-m8c,"Hanya karena dia ketum beringin, Presiden agak kesulitan. JIKA orang ini sampe diganti, KEREN SEKALI PRESIDENKU."
@ZikacowZika,"Kesimpulannya Bahlil tak mampu. Nah.. prabowo cari pengganti bahlil  dia sudah usang kebijakan tak jelas sekali buat kebijakan malah nyusain rakyat, sangat perlu mengganti Bahlil demi ketegasan dan ke majuan bangsa yng setuju like"
@isiaisia4697,Org korupsi systemnya ya tdk masuk akal la.. makin dia koar2 makin cpt ditangkep sm KPK..busuk banget tuh Tikus Bahlil.. dia itu 2IC sih boss mafia..
@kid2557,"Impor adalah bisnis, ketika uang berbicara semua hal dilakukan oleh tikus2 yang berkuasa"
@donnysnakepith,"Pantes korupsi trus..habis bagian yg menanggung jawab bagian migas ga pernah mau bangun kilang baru. Pantes antrian minyak langka trus di SPBU.
Abis luu pada di sikat abis ma pak Purbaya."
@LumineMiller,Kalau impor kan cair banyak buat para pejabat busuk!
@myraa1654,Memang bermaksud body shaming khusus untuk kasus anda p esdm:please do judge a book by it's cover!
@calonilmuan1294,"Harga BBM Malaysia murah tapi Untung besar 
Harga BBM Indonesia mahal tapi merugi"
@hansmusik8963,Dia sibuk ngerjain proyek untuk setoran ke partai kali...
@yogafarhat8026,"INDONESIA TIDAK BAKALAN MAJU KALAU MASIH DI ISI PENJABAT"" KORUP TIDAK DI TINDAK DENGAN BENAR"
@hansmusik8963,"Presiden ga neken menterinya, tp Presiden pake Pak Purbaya untuk neken menteri-menteri nya supaya lebih lincah lagi."
@bcdefghijklmnoprstuvwxyz,Bukan hanya pak Purbaya yang tidak percaya tapi seluruh rakyat Indonesia lil Bahlil
@silvesterwisnu1865,up up semua harus tau.
@fajarfachturrachman2323,Percayalah beliau pak Purbaya pernah di Schlumber. Lah ladahilah? Kan basicnya apa? Ditambah juga korupsi di lingkungan perusahaan dan oktan di oplos🎉
@rizkyalfarezy751,Rakyat lebih percaya Menkeu MURBAYA.
@edipurwanto4898,"Negara besar mimyak aja impor padahal kita minyak banyak,sumberdaya alam kota melimpah,Minyak,timah,emas,batu bara,gula,sawit & lainya 

Masa kalah sama Berunai darusalam"
@Antonjore,"Bisnis import, kek yg di Priuk tuh"
@sumi1910,Kita rakyat dukung pak purbaya supaya bikin kilang baru
@HanyaSebatas-k5s,"Penduduk Indonesia 280 juta jiwa,tidak ada yg lebih pintar seperti Mentri ESDM ya..??"
@waginowongso9251,"Pertamina tidak mau bangun kilang minyak krn pembesar2,, mafia2,, penguasa gak bisa korupsi lagi.
Klo import minyak bisa korupsi...."
@mohamadafrizal8355,"Intinya negara ini banyak mafianya, males sya aslinya liat brita tentang masalah negara, dibahas bahas mulu tapi  pnyelesaian gak ada, kita rakyat gak punya yg gak punya wewenang hanya bisa geram, bgitu bobroknya pejabat2 di negara ini"
@Kasan-Family,"di jawa antri itu minyak bbm. 
udah harganya naik, antri kayak ular pula"
@ichsantaka422,Gassfull pak Menkeu...rakyat Indonesia bersama anda pak❤❤
@LamYutube,"Perlu di ganti ini, cari orang yang bisa memajukan pertamina, pertamina maju, minyak murah maka sumber energi murah maka rakyat sejahtera."
@MbahGayeng,"Nunggu yg kemaren komen ""OMON OMON"""
@ReturnStr,"yang satu lulusan itb, yang satunya lulusan kampus yang di google pun tidak ada. silahkan dipilih mana yang lebih bisa dipercaya"
@omarkiastore3933,Lebih percays ke pak Purbaya daripada bahlul😂
@mukhrodinmukhrodin377,"Astagfirrullah.....
Satu persatu omongan almarhum Pak Rizal Ramli benar."
@untungpurwono5029,STOP IMPOR BBM SEKARANG JUGA.
@pamancakiel,"Viral video Bensinnya campur Air dikit banyak etanolnya, jadi over capacity karena BBM impor dah dioplos etanol jadi banyak dan untung banyak. Bisa ngerusak mesin ga seh? lembaga perlindungan Konsumen mana suaranya?"
@saifulilmi6302,"kan kalau mahal udah nyari investor, malah lumayan gak ngeluarin uang trs lapangan kerja terbuka selama 30 tahun"
@nosnoozeguy2858,seru nih menteri keuangan vs menteri esdm. (ambil popcorn)
@eddyruslim,"dahhh...diaudit saja sama pihak ke3, biar kelar ttg jumlah kilang. 
masih banyak urusan dari pada adu data sama bahlil."
@alirosheno9473,"Prabowo main halus dia ahli strategi pake proxy(Purbaya) gak main grasak grusuk nunggu Bahlil blunder fatal dan bukti2nya kuat baru disikat Prabowo contohnya Budi Arie, Immanuel ebenezer, Srimulyono"
@rizkimiyani5806,Pejabat yang gak bisa kerja d reshuffle saja biar uang negara ada manfaatnya
@iissupiah8604,Mudah-mudahan pak purbaya sekeluarga ada dalam lindungan Allah
@mangoleh3704,Pak mentri esdm kalo denial terhadap data bisa2 lengser ini…
@darwissimbolon-v7w,DPR HANYA TEMPAT NGOMONG DOANG SOLUSI DPR TAADA DPR DAN PERTAMINA SEPAKAT MAPIA MINYAK DAN GAS
@ClinkxDreez,"masih bagus usul dari luar negri di bangun kilang baru tapi minta jatah 30 tahun dan setelah itu jadi milik negara , ini negara sendiri janji janji doang tau tau udah 10 tahun gk jdi satupun. orang luar aja berani bangun dengan jangka waktu 30tahun brarti itu sangat menguntungkan untuk mereka. sdngkan sekarang negari sendiri rugi mulu aneh."
@hendrahermawan7285,"Bhahahahahah aduh Bah Bah Bah Bah.....



Ampun dah kita punya memteri koyo ngono"
@muhamadrion9870,Mengawasi teman teman agar mereka aman
@SogolSembuling,"Lanjutkan pak Purbaya , aku rakyat di belakang mu"
@Hariyanto-z8v,"Sengaja dibakar kok dah gak kaged, minta uang buat bangun kilang minyak. Itu uang kemana pembangunan minyak, Sumber Alam banyak kok masih import"
@dzakyputra2591,"PEJABAT PERTAMINA MANA MAU NAMBAH BANGUN KILANG, JIKA INDONESIA PUNYA KILANG BANYAK, PARA PEJABAT PERTAMINA AKAN KEHILANGAN TRILYUNAN DUIT DARI IMPORT BBM"
@adrianusalvaroo,"mentri bumn, mentri esdm dam mentri keuangan harus rapat termasuk anggota dpr"
@vanni_yola,"Sekarang gini, logikanya
Menteri S3 vs menteri IPK 2,7
Kira kira bakal imbang nggak tuh?😊"
@C2ACMOBIL,Rakyat indo jaga pak purbaya ....
@Reviewup,Intinya kalo ga impor ga bisa korup
@feryahmad6881,"Pak presiden Prabowo Subianto Reshuffle semua menteri dari presiden sebelumnya, logika nya gmna ya over capacity tapi masih beli ke org lain bangun kilang memang biaya nya besar akan tetapi pembangunan kilang itu bisa menyerap ribuan pekerja pribumi dan yg lebih baik itu untuk kemandirian nasional tidak bergantung sama negara lain"
@sigitadi8557,"Yaudah tutup aja impor kalo over capacity 
Biarin suruh tanggung jawab bahlil kalo bensin langka, 
Suruh mundur karna ketololanya bikin indonesia kacau"
@rizalahmad2036,Bentar lagi di pecat ini Mentri saya yakin....
@editor6374,"Jelas impor lebih menguntungkan, bagi para pejabat"
@sharifbudiman5909,Saya kok suka dengan cara kerja pak purbaya👍👍 maju terus pak😊😊 kami mendukungmu👍👍
@Khrist_utomo,Team Pak Purbaya Merapat ☝️
@johnchannel2193,Pak Purbaya tolong ganyang jenglot 1 ini segera masukkan botol dioplos sama pertalite.
@RailGunzA,"seru nih, klo mentri dari non partai, gak bisa disetir :face-blue-smiling:"
@Mumuhworld,Impor = cuan = korupsi = bahlul
@kopiku_hitam,"Delapan puluh tahun Indonesia merdeka, tapi rakyat masih lebih suka membungkuk pada begundal negeri ketimbang berdiri untuk kebenaran. Polanya terus berulang rakyat disuruh sabar sampai tumpul, pejabat tengil sampai lupa malu. Kemerdekaan seolah cuma simbol di kalender, bukan kesadaran di dada.
Kadang terpikir, pejabat model begini kalau hidup di Nepal, mungkin udah dapat “pendidikan karakter” langsung dari rakyat. 😏🇮🇩"
@XiomiMia1-xq7tr,bukanya kerja sama malah kaya saingan
@tobronihn8705,Tapi jika Pertamina over capasity kok antrian di masyarakat makin panjang... Bukan Krena kendaraan banyak tapi karena SPBU sering kosong BBM ..
@marianiani6267,Menkeu terhebat sejagat raya .lanjutkan pak purbaya
@BudKoes,Pertanina mending impor aja karean BBM yang dibeli bisa memenuhi EURO IV dengan kadar sulrur rendah
@willsmith-oi4xt,Over Capacity tapi kok kita masih antri panjang ya di SPBU? 😂
@andyhakim2968,"Ada pepatah bilang, jangan menilai buku dari sampul nya, tapiiiiiii ini udah sampul nya butek, dekil, item, ehh isi nya juga lebih parah."
@satriarantassemu1158,"inpor kelihatan menjadi mata pencarian para si korup"" itu, buat kilang stok bbm kan lebih menguntungkan rakyat..apa pejabat"" itu harus makan dari fee setiap inpor bahan. 😂😂 gaji besar tp masih serakah."
@piyanmontana1174,Mahkotamu on procces king Purbaya.
@yudikurniawan1119,"Itulah lingkaran setan, Mafi minyak ada d Pertamina. Korupsi besar dan vii besar bagi pejabat yg paham dan menerima nya dan memberikan jalan mulus minyak Singapura dari mafia"
@YudiSaputro-x4e,"Alasan Bahlil itu ngaco banget over kapasitas tapi negara selalu impor , janji 2018 akan ada kilang minyak baru tapi setelah 8 tahun belum terealisasi juga"
@zaldiarifin1546,Yg ada beberapa dibakar...sungguh biadab
@UmiRohyana,Kasihan negara Indonesia katanya negri makmur negri subur .tapi nyatanya yg makmur dan yg subur itu malah kebayakan pejabat dan elit politik yg menikmati. 😂😂
@GenZ-Milinial,JUDULNYA NGADU DOMBA... KOMPAS TV INI MEMANG TV PENGADU DOMBA
@essoviuszero,Goblin vs goblin slayer 😂 mantab
@rizalwira9895,Mafia bbm ya pegawai pertamina itu sendiri.. Dirut2 dan komisarisnya itulah mafianya
@WiwinSusanti-h3n,Dukung pak Purabaya 💪💪💪
@steviepramudita9239,over capacity itu beda dengan over supply 😂
@Fkfkfkfk1945,"Saya pegang di Bapak Purbaya, karena data keuangan ditangan dia bukan di itu tuh...."
@MichaelAndre-t5t,"kalau di buat di indonesia, gk dapt insentive dari luar nanti pak hahahaha"
@otongidi5230,Sungguh malu Pertamina tidak punya kemauan untuk maju .ke enakan import biar banyak cuan masuk kantong elit elit pertamina
@muhammadyudi2162,"Kalaujover capacity...indonesi gak akan impor BBM...kenyataannya kita impor BBM 700 ribu barel per hari...
Kelihatan Bahlil gak faham industri BBM 😅😂"
@tradernubie2041,cuma pak Menkeu yg berani bilang pertamina males2 an :D
@TigaWarnaToko,"Eh pertamina  janji ya ditepati dong , 5 thn 7 kilang baru, giliran ditagih janji kok marah"" ?"
@mirzaiadityaahmadahmad1641,Masak iya pak Prabowo gak faham Tah sama cara mainnya Bahlil ini.kok masih di pertahankan gitu.
@AMDMP11,Bangun Kilang Baru = Gakbisa Impor
@mirwanpaswani5671,Canggih ini politik prabowo.. manajemen konfliknya kren sengja di adu antara pihak pro prabowo dan pihak termul.. pelan2 kluar aslinya...
@Ucox100,"Mantabs kali memang mentri esdm yg gak bisa bahasa Inggris ini, salute pak bnyk tipu tipu"
@GambarGajah-q6l,Menteri vs menteri jujur vs bohong 😅😅
@kusnadikardin9501,"KILANG YANG AKAN DIBANGUN, HARUS MEMPERTIMBANGKAN KEPASTIAN TERSEDIA NYA CRUDE OIL UNTUK KILANG TSB.  JANGAN SAMPAI DIDIKTE OLEH PENGHASIL CRUDE OIL NYA."
@GBSportaholic,Intinya taken kontrak impor lebih cuan buat segelintir.. buktinya mereka memakai kekuasaan untuk pesaing2nya bukannya koreksi lalu bersaing hebat malah make kekuasaan.. dengan sumber daya yg bisa digdaya tapi malah dikelola orang2 imkompeten..
@khaylaalmiramariza6117,Bahlil ga cocok jd mentri cocoknya jd ketua RT
@cicihnawangsih1880,AYO LUCUTI DIA...WARGA PANTA👀👀👀👀👀👀👀👀👀
@mmachmudalrozi6375,"LUCU BANGET, OVER CAPACITY , TAPI IMPORT , NGOMONG APA INI BAHLUL ???"
@AriSumantri,"KALO OVER CAPACITY YA EKSPORT, BUKAN IMPORT. ANAK SD JUGA NGERTI"
@Kindergard,"Kalo impor kan ada insentif dari supplier buat direksi, bikin kilang sendiri mana ada insentif 😂"
@fikridhafir,"Kalo over, tanpa subsidi pun bisa murah dongg. Under 7k dongg"
@nikoapr,KELIATAN BANGET NIH 😂😂... Kalian ngerti kan 😂
@RonnyYudhistira,Ko suka impor karna komisinya gede buat pejabatnya... Sedang uang impor pake uang negara
@coretandewa8893,Ayo netizen rungkad kan BAHLIL
@yusufriyadi4791,"Sesama dalam naungan eksekutif kok bsbgak sinkron,, Menkeu berpihak pada kemandirian yaitu, produksi dalam .. 
ESDM maunya terus ada impor BBM.. lucu bgt njirr kayak punya kepentingan sendiri2😂"
@qa2familychannel582,Ini klo gak digamti bikin ulah terus.. ada aja gebrakan'a..
@fahee7616,Pak Prabowo kok diem aja liat mentri ESDM yah...
@idantea7572,"Setingkat bahlil salah tanggap tentang menkeu🤣🤣🤣. Bukan masalah stok banyak, Lil... Tapi dari mana stok BBM itu datangnya.
Dungu.."
