author,comment,clean_comment,tokens,filtered_comment
@gherypriscylio458,Bangun kilang menguntungkan untuk negara. Import BBM menguntungkan untuk “orang Pertamina”,bangun kilang menguntungkan untuk negara import bbm menguntungkan untuk orang pertamina,"['bangun', 'kilang', 'menguntungkan', 'untuk', 'negara', 'import', 'bbm', 'menguntungkan', 'untuk', 'orang', 'pertamina']",bangun kilang menguntungkan negara import bbm menguntungkan orang pertamina
@FaizAbizararisandi,Mafia yg sangat serakah,mafia yg sangat serakah,"['mafia', 'yg', 'sangat', 'serakah']",mafia yg serakah
@dwiatnisetyowati2417,"Mukanya Bahlil dan warna kulit mukanya sama warnanya dengan hatinya, ga punya nurani, gelap dan otaknyapun gelap.❤😂",mukanya bahlil dan warna kulit mukanya sama warnanya dengan hatinya ga punya nurani gelap dan otaknyapun gelap,"['mukanya', 'bahlil', 'dan', 'warna', 'kulit', 'mukanya', 'sama', 'warnanya', 'dengan', 'hatinya', 'ga', 'punya', 'nurani', 'gelap', 'dan', 'otaknyapun', 'gelap']",mukanya bahlil warna kulit mukanya warnanya hatinya ga nurani gelap otaknyapun gelap
@pewepewepewe,ANGKAT SAYA JADI PEMIMPIN TERTINGGI DI PERTAMINA...TAK BABAT HABIS MAFIA🔥🔥🔥PERTAMINA BAKALAN PROFIT🔥🔥,angkat saya jadi pemimpin tertinggi di pertaminatak babat habis mafiapertamina bakalan profit,"['angkat', 'saya', 'jadi', 'pemimpin', 'tertinggi', 'di', 'pertaminatak', 'babat', 'habis', 'mafiapertamina', 'bakalan', 'profit']",angkat pemimpin tertinggi pertaminatak babat habis mafiapertamina profit
@DimasSatria-iu8rw,Jauh lebih bagus Pak Purbaya drpd Bahlil TOULOUL menteri koruptor,jauh lebih bagus pak purbaya drpd bahlil touloul menteri koruptor,"['jauh', 'lebih', 'bagus', 'pak', 'purbaya', 'drpd', 'bahlil', 'touloul', 'menteri', 'koruptor']",bagus purbaya drpd bahlil touloul menteri koruptor
@eskrimwatch09,Koruptor MBG Lohot dan Koruptor minyak LPG bahlil. Kejang kejang hadapin menkeu kita yg jenius 😂😂😂😂,koruptor mbg lohot dan koruptor minyak lpg bahlil kejang kejang hadapin menkeu kita yg jenius,"['koruptor', 'mbg', 'lohot', 'dan', 'koruptor', 'minyak', 'lpg', 'bahlil', 'kejang', 'kejang', 'hadapin', 'menkeu', 'kita', 'yg', 'jenius']",koruptor mbg lohot koruptor minyak lpg bahlil kejang kejang hadapin menkeu yg jenius
@SudutPinggir,Mafia Pertamina sejak dulu ngaku rugi tapi minta bonus segeda gaban puluhan milyar gila ga tuh...pecat bahlil !!,mafia pertamina sejak dulu ngaku rugi tapi minta bonus segeda gaban puluhan milyar gila ga tuhpecat bahlil,"['mafia', 'pertamina', 'sejak', 'dulu', 'ngaku', 'rugi', 'tapi', 'minta', 'bonus', 'segeda', 'gaban', 'puluhan', 'milyar', 'gila', 'ga', 'tuhpecat', 'bahlil']",mafia pertamina ngaku rugi bonus segeda gaban puluhan milyar gila ga tuhpecat bahlil
@darwinzamzami4066,Oper Capasity apaan. Cari solar aja sangat sulit sekarang di Aceh. Hajar semua Pak Purbaya. Termasuk Bahlul itu.,oper capasity apaan cari solar aja sangat sulit sekarang di aceh hajar semua pak purbaya termasuk bahlul itu,"['oper', 'capasity', 'apaan', 'cari', 'solar', 'aja', 'sangat', 'sulit', 'sekarang', 'di', 'aceh', 'hajar', 'semua', 'pak', 'purbaya', 'termasuk', 'bahlul', 'itu']",oper capasity cari solar aja sulit aceh hajar purbaya bahlul
@MichaelSarendatu,Bahlil itu sumber masalah...dr dulu Golkar itu yg menggadaikan Indonesia,bahlil itu sumber masalahdr dulu golkar itu yg menggadaikan indonesia,"['bahlil', 'itu', 'sumber', 'masalahdr', 'dulu', 'golkar', 'itu', 'yg', 'menggadaikan', 'indonesia']",bahlil sumber masalahdr golkar yg menggadaikan indonesia
@houseprediction2834,"Jangankan Purbaya, kami yg rakyat kecil saja kagak percaya sama kau Bahlil. Kalau bukan ketua golkar sepertinya kau sudah di periksa kpk ini.",jangankan purbaya kami yg rakyat kecil saja kagak percaya sama kau bahlil kalau bukan ketua golkar sepertinya kau sudah di periksa kpk ini,"['jangankan', 'purbaya', 'kami', 'yg', 'rakyat', 'kecil', 'saja', 'kagak', 'percaya', 'sama', 'kau', 'bahlil', 'kalau', 'bukan', 'ketua', 'golkar', 'sepertinya', 'kau', 'sudah', 'di', 'periksa', 'kpk', 'ini']",purbaya yg rakyat kagak percaya kau bahlil ketua golkar kau periksa kpk
@wendoyofficial,Bahlil kok blm di pecat jga ya,bahlil kok blm di pecat jga ya,"['bahlil', 'kok', 'blm', 'di', 'pecat', 'jga', 'ya']",bahlil blm pecat jga ya
@fatraduwipa,Alasannya sederhana karena biaya produksi minyak itu lebih kecil dibandingkan daripada kita mengimpor oleh karena itu Pertamina terus mengimpor BBM,alasannya sederhana karena biaya produksi minyak itu lebih kecil dibandingkan daripada kita mengimpor oleh karena itu pertamina terus mengimpor bbm,"['alasannya', 'sederhana', 'karena', 'biaya', 'produksi', 'minyak', 'itu', 'lebih', 'kecil', 'dibandingkan', 'daripada', 'kita', 'mengimpor', 'oleh', 'karena', 'itu', 'pertamina', 'terus', 'mengimpor', 'bbm']",alasannya sederhana biaya produksi minyak dibandingkan mengimpor pertamina mengimpor bbm
@MandallaQidsiChanel,"Kemarin tuan nya Bahlul ngebujuk pak presiden.
Jangan² mmmmmm.....😊","kemarin tuan nya bahlul ngebujuk pak presiden
jangan mmmmmm","['kemarin', 'tuan', 'nya', 'bahlul', 'ngebujuk', 'pak', 'presiden', 'jangan', 'mmmmmm']",kemarin tuan nya bahlul ngebujuk presiden mmmmmm
@ozekidzzone4345,itulah kenapa indonesia tidak akan bsa jadi negara maju sampai kiamat karna orang2 pemerintah isinya mafia semuaa/,itulah kenapa indonesia tidak akan bsa jadi negara maju sampai kiamat karna orang pemerintah isinya mafia semuaa,"['itulah', 'kenapa', 'indonesia', 'tidak', 'akan', 'bsa', 'jadi', 'negara', 'maju', 'sampai', 'kiamat', 'karna', 'orang', 'pemerintah', 'isinya', 'mafia', 'semuaa']",indonesia bsa negara maju kiamat karna orang pemerintah isinya mafia semuaa
@wasto-sq9zf,Hanya anak2 muda dan mahasiswa yg bisa menuntaskan ...tas...tas...tas ....sampe ke akar2nya ....ayo selesaikanlah secepatnya ....🕺🕺🏃‍➡️,hanya anak muda dan mahasiswa yg bisa menuntaskan tastastas sampe ke akarnya ayo selesaikanlah secepatnya,"['hanya', 'anak', 'muda', 'dan', 'mahasiswa', 'yg', 'bisa', 'menuntaskan', 'tastastas', 'sampe', 'ke', 'akarnya', 'ayo', 'selesaikanlah', 'secepatnya']",anak muda mahasiswa yg menuntaskan tastastas sampe akarnya ayo selesaikanlah secepatnya
@Kadrun12345,Bahlil glowing banget memancarkan aura koruptor,bahlil glowing banget memancarkan aura koruptor,"['bahlil', 'glowing', 'banget', 'memancarkan', 'aura', 'koruptor']",bahlil glowing banget memancarkan aura koruptor
@keluargaedisiswoyo8364,Muka nya Bahlil sudah kaya kilang minyak ngebul 😅😅,muka nya bahlil sudah kaya kilang minyak ngebul,"['muka', 'nya', 'bahlil', 'sudah', 'kaya', 'kilang', 'minyak', 'ngebul']",muka nya bahlil kaya kilang minyak ngebul
@pistachio1998,u cp?,u cp,"['u', 'cp']",u cp
@remintong2930,Paling2 kau jdi anggota mreka,paling kau jdi anggota mreka,"['paling', 'kau', 'jdi', 'anggota', 'mreka']",kau jdi anggota mreka
@biangkerok7777,"Iya lah,  masa menkeu dibandingkan sama boneka Labubu 😂",iya lah  masa menkeu dibandingkan sama boneka labubu,"['iya', 'lah', 'masa', 'menkeu', 'dibandingkan', 'sama', 'boneka', 'labubu']",iya menkeu dibandingkan boneka labubu
@taulmhofficial3789,Lohot dapat ontong Subsidi motor listrik,lohot dapat ontong subsidi motor listrik,"['lohot', 'dapat', 'ontong', 'subsidi', 'motor', 'listrik']",lohot ontong subsidi motor listrik
@nitafath7292,jujur...mrk cs butuh modal besar 2029.,jujurmrk cs butuh modal besar,"['jujurmrk', 'cs', 'butuh', 'modal', 'besar']",jujurmrk cs butuh modal
@Gigsdt,Golkar banteng,golkar banteng,"['golkar', 'banteng']",golkar banteng
@llcn5610,Luhut dan Bahlil,luhut dan bahlil,"['luhut', 'dan', 'bahlil']",luhut bahlil
@CakSemua,Bahlil itu tangan kanan pokowi dan pokowi tangan kanan mafia..,bahlil itu tangan kanan pokowi dan pokowi tangan kanan mafia,"['bahlil', 'itu', 'tangan', 'kanan', 'pokowi', 'dan', 'pokowi', 'tangan', 'kanan', 'mafia']",bahlil tangan kanan pokowi pokowi tangan kanan mafia
@lurnitdeuS,​@Gigsdtgolkar top korup,top korup,"['top', 'korup']",top korup
@PutraMaqbulIhsanBasyar,"Berat, ketum Golkar",berat ketum golkar,"['berat', 'ketum', 'golkar']",berat ketum golkar
@suryazen4388,karna prabowo juga korupsi,karna prabowo juga korupsi,"['karna', 'prabowo', 'juga', 'korupsi']",karna prabowo korupsi
@top10sarjana64,"Prabowo baru 1 periode. Kalo di pecat, dia kehilangan dukungan golkar.",prabowo baru  periode kalo di pecat dia kehilangan dukungan golkar,"['prabowo', 'baru', 'periode', 'kalo', 'di', 'pecat', 'dia', 'kehilangan', 'dukungan', 'golkar']",prabowo periode kalo pecat kehilangan dukungan golkar
@AgusHidayat-ko6tw,"KLO ADA BUKTI KORUPSI ,DG SENDIRINYA BISA DIPIDANA DAN MASUK BUI SEPERTI KASUS KETUM GOLKAR YG PAPA MINTA SAHAM.",klo ada bukti korupsi dg sendirinya bisa dipidana dan masuk bui seperti kasus ketum golkar yg papa minta saham,"['klo', 'ada', 'bukti', 'korupsi', 'dg', 'sendirinya', 'bisa', 'dipidana', 'dan', 'masuk', 'bui', 'seperti', 'kasus', 'ketum', 'golkar', 'yg', 'papa', 'minta', 'saham']",klo bukti korupsi dg dipidana masuk bui ketum golkar yg papa saham
@suryazen4388,​ @AgusHidayat-ko6tw papa minta saham udah bebas dan duitnya masih banyak karna gk pernah disita negara,kotw papa minta saham udah bebas dan duitnya masih banyak karna gk pernah disita negara,"['kotw', 'papa', 'minta', 'saham', 'udah', 'bebas', 'dan', 'duitnya', 'masih', 'banyak', 'karna', 'gk', 'pernah', 'disita', 'negara']",kotw papa saham udah bebas duitnya karna gk disita negara
@brojurtom4128,"Bahlil uang bagi² nya kencang & lancar, ga ada yg serang dia broo",bahlil uang bagi nya kencang  lancar ga ada yg serang dia broo,"['bahlil', 'uang', 'bagi', 'nya', 'kencang', 'lancar', 'ga', 'ada', 'yg', 'serang', 'dia', 'broo']",bahlil uang nya kencang lancar ga yg serang broo
@69leonite,"Berat. Dalam politik itu ada bargain politik. Pecat bahlil yg merupakan ketum partai golkar berarti siap kehilangan dukungan golkar di dpr. Ingat setiap program pemerintah hanya bisa jalan kalau mendapatkan dukungan mayoritas di dpr, termasuk kebijakan²nya purbaya kalau dpr ga menyetujui ya ga bisa dilaksanakan. Itulah kenapa bagi² jabatan di perpolitikan indonesia tdk bisa terhindarkan.",berat dalam politik itu ada bargain politik pecat bahlil yg merupakan ketum partai golkar berarti siap kehilangan dukungan golkar di dpr ingat setiap program pemerintah hanya bisa jalan kalau mendapatkan dukungan mayoritas di dpr termasuk kebijakannya purbaya kalau dpr ga menyetujui ya ga bisa dilaksanakan itulah kenapa bagi jabatan di perpolitikan indonesia tdk bisa terhindarkan,"['berat', 'dalam', 'politik', 'itu', 'ada', 'bargain', 'politik', 'pecat', 'bahlil', 'yg', 'merupakan', 'ketum', 'partai', 'golkar', 'berarti', 'siap', 'kehilangan', 'dukungan', 'golkar', 'di', 'dpr', 'ingat', 'setiap', 'program', 'pemerintah', 'hanya', 'bisa', 'jalan', 'kalau', 'mendapatkan', 'dukungan', 'mayoritas', 'di', 'dpr', 'termasuk', 'kebijakannya', 'purbaya', 'kalau', 'dpr', 'ga', 'menyetujui', 'ya', 'ga', 'bisa', 'dilaksanakan', 'itulah', 'kenapa', 'bagi', 'jabatan', 'di', 'perpolitikan', 'indonesia', 'tdk', 'bisa', 'terhindarkan']",berat politik bargain politik pecat bahlil yg ketum partai golkar kehilangan dukungan golkar dpr program pemerintah jalan dukungan mayoritas dpr kebijakannya purbaya dpr ga menyetujui ya ga dilaksanakan jabatan perpolitikan indonesia tdk terhindarkan
@mohamadwakhid6543,Astaghfirullah. Mentri genk solo kok selalu menyusahkan rakyat😢😢,astaghfirullah mentri genk solo kok selalu menyusahkan rakyat,"['astaghfirullah', 'mentri', 'genk', 'solo', 'kok', 'selalu', 'menyusahkan', 'rakyat']",astaghfirullah mentri genk solo menyusahkan rakyat
@salmansudiman76,Kalau uver capacity...kenapa harus impor BBM dari singapura....Buat aja penampung kilang baru buat penampung ...... otak mafia mulai rasukin direksi migas,kalau uver capacitykenapa harus impor bbm dari singapurabuat aja penampung kilang baru buat penampung  otak mafia mulai rasukin direksi migas,"['kalau', 'uver', 'capacitykenapa', 'harus', 'impor', 'bbm', 'dari', 'singapurabuat', 'aja', 'penampung', 'kilang', 'baru', 'buat', 'penampung', 'otak', 'mafia', 'mulai', 'rasukin', 'direksi', 'migas']",uver capacitykenapa impor bbm singapurabuat aja penampung kilang penampung otak mafia rasukin direksi migas
@endavloghfz8287,ayo guys kita demo di depan kantor pertamina klo perlu di semua kilang pertamina seluruh indonesia,ayo guys kita demo di depan kantor pertamina klo perlu di semua kilang pertamina seluruh indonesia,"['ayo', 'guys', 'kita', 'demo', 'di', 'depan', 'kantor', 'pertamina', 'klo', 'perlu', 'di', 'semua', 'kilang', 'pertamina', 'seluruh', 'indonesia']",ayo guys demo kantor pertamina klo kilang pertamina indonesia
@RifqatulAdiba,Yg jdi pertanyaan pak Purbaya knp dri thun 98 sampe skrang 1 pun ga bisa bikin??? Emngnya meski brp duit ga sanggup bikin kn pertamina pasti ada untungnya gak mungkin rugi dri tahun 98,yg jdi pertanyaan pak purbaya knp dri thun  sampe skrang  pun ga bisa bikin emngnya meski brp duit ga sanggup bikin kn pertamina pasti ada untungnya gak mungkin rugi dri tahun,"['yg', 'jdi', 'pertanyaan', 'pak', 'purbaya', 'knp', 'dri', 'thun', 'sampe', 'skrang', 'pun', 'ga', 'bisa', 'bikin', 'emngnya', 'meski', 'brp', 'duit', 'ga', 'sanggup', 'bikin', 'kn', 'pertamina', 'pasti', 'ada', 'untungnya', 'gak', 'mungkin', 'rugi', 'dri', 'tahun']",yg jdi purbaya knp dri thun sampe skrang ga bikin emngnya brp duit ga sanggup bikin kn pertamina untungnya gak rugi dri
@sandikhoiri,"Anda sehat BPK Bahlil yg terhormat!!!!!????
Dari jaman Jokowi sibuk mau buat kilang""minyak.tapi sampai skrng 0 besar","anda sehat bpk bahlil yg terhormat
dari jaman jokowi sibuk mau buat kilangminyaktapi sampai skrng  besar","['anda', 'sehat', 'bpk', 'bahlil', 'yg', 'terhormat', 'dari', 'jaman', 'jokowi', 'sibuk', 'mau', 'buat', 'kilangminyaktapi', 'sampai', 'skrng', 'besar']",sehat bpk bahlil yg terhormat jaman jokowi sibuk kilangminyaktapi skrng
@Kucing_Rakyat,"Apapun pernyataan tlol dia, intinya sejak jaman sutowo, kita dipaksa buat import BBM agar mafia asing cuan, nah kacung""nya itu yang ada di indo yang perlu di sikat!",apapun pernyataan tlol dia intinya sejak jaman sutowo kita dipaksa buat import bbm agar mafia asing cuan nah kacungnya itu yang ada di indo yang perlu di sikat,"['apapun', 'pernyataan', 'tlol', 'dia', 'intinya', 'sejak', 'jaman', 'sutowo', 'kita', 'dipaksa', 'buat', 'import', 'bbm', 'agar', 'mafia', 'asing', 'cuan', 'nah', 'kacungnya', 'itu', 'yang', 'ada', 'di', 'indo', 'yang', 'perlu', 'di', 'sikat']",apapun pernyataan tlol intinya jaman sutowo dipaksa import bbm mafia asing cuan kacungnya indo sikat
@mg89channel56,"Kalau tidak ada kilang dan butuh minyak, masih masuk logika klo impor. Laaaaah ini over capacity, ngapain impor. Tujuan nya punya kilang baru biar gak impor² lagi. Lanjutkan Pak Pur",kalau tidak ada kilang dan butuh minyak masih masuk logika klo impor laaaaah ini over capacity ngapain impor tujuan nya punya kilang baru biar gak impor lagi lanjutkan pak pur,"['kalau', 'tidak', 'ada', 'kilang', 'dan', 'butuh', 'minyak', 'masih', 'masuk', 'logika', 'klo', 'impor', 'laaaaah', 'ini', 'over', 'capacity', 'ngapain', 'impor', 'tujuan', 'nya', 'punya', 'kilang', 'baru', 'biar', 'gak', 'impor', 'lagi', 'lanjutkan', 'pak', 'pur']",kilang butuh minyak masuk logika klo impor laaaaah over capacity ngapain impor tujuan nya kilang biar gak impor lanjutkan pur
@p34c3b3up0n,"Mulai Jokowi 2014 BBM Pertamina memburuk kualitas nya, sekarang Jokowi punya anak buah yaitu Bahlil di ESDM jadi sulit Indonesia punya kualitas BBM yang baik seperti era SBY.",mulai jokowi  bbm pertamina memburuk kualitas nya sekarang jokowi punya anak buah yaitu bahlil di esdm jadi sulit indonesia punya kualitas bbm yang baik seperti era sby,"['mulai', 'jokowi', 'bbm', 'pertamina', 'memburuk', 'kualitas', 'nya', 'sekarang', 'jokowi', 'punya', 'anak', 'buah', 'yaitu', 'bahlil', 'di', 'esdm', 'jadi', 'sulit', 'indonesia', 'punya', 'kualitas', 'bbm', 'yang', 'baik', 'seperti', 'era', 'sby']",jokowi bbm pertamina memburuk kualitas nya jokowi anak buah bahlil esdm sulit indonesia kualitas bbm era sby
@fahdih768,Para pejabat dan politisi negeri ini adalah pebisnis minyak. Saatnya mereka dimusnahkan seperti di Nepal.,para pejabat dan politisi negeri ini adalah pebisnis minyak saatnya mereka dimusnahkan seperti di nepal,"['para', 'pejabat', 'dan', 'politisi', 'negeri', 'ini', 'adalah', 'pebisnis', 'minyak', 'saatnya', 'mereka', 'dimusnahkan', 'seperti', 'di', 'nepal']",pejabat politisi negeri pebisnis minyak dimusnahkan nepal
@ditoseafox,Minyak mentah diekspor murah ke negara upil Singapura terus dibeli impor lagi mahal ke dalam negeri untuk 200 juta rakyat Indonesia. Pertamina rugi katanya gara2 subsidi buat rakyat. 😂. Ngapain dilewatin ke Singapura semua klo ga permainan ordal partai. Sinopec sm Aramco bangun ksh kilang modern gratis ga mau😂,minyak mentah diekspor murah ke negara upil singapura terus dibeli impor lagi mahal ke dalam negeri untuk  juta rakyat indonesia pertamina rugi katanya gara subsidi buat rakyat  ngapain dilewatin ke singapura semua klo ga permainan ordal partai sinopec sm aramco bangun ksh kilang modern gratis ga mau,"['minyak', 'mentah', 'diekspor', 'murah', 'ke', 'negara', 'upil', 'singapura', 'terus', 'dibeli', 'impor', 'lagi', 'mahal', 'ke', 'dalam', 'negeri', 'untuk', 'juta', 'rakyat', 'indonesia', 'pertamina', 'rugi', 'katanya', 'gara', 'subsidi', 'buat', 'rakyat', 'ngapain', 'dilewatin', 'ke', 'singapura', 'semua', 'klo', 'ga', 'permainan', 'ordal', 'partai', 'sinopec', 'sm', 'aramco', 'bangun', 'ksh', 'kilang', 'modern', 'gratis', 'ga', 'mau']",minyak mentah diekspor murah negara upil singapura dibeli impor mahal negeri juta rakyat indonesia pertamina rugi gara subsidi rakyat ngapain dilewatin singapura klo ga permainan ordal partai sinopec sm aramco bangun ksh kilang modern gratis ga
@KomentatorSpesialis-cv9ro,Anak kecil juga tahu kalau BBM masih deras impor itu nggak mungkin over capacity. Pak Prabowo mohon segera pecat bahlil menteri nggak becus !,anak kecil juga tahu kalau bbm masih deras impor itu nggak mungkin over capacity pak prabowo mohon segera pecat bahlil menteri nggak becus,"['anak', 'kecil', 'juga', 'tahu', 'kalau', 'bbm', 'masih', 'deras', 'impor', 'itu', 'nggak', 'mungkin', 'over', 'capacity', 'pak', 'prabowo', 'mohon', 'segera', 'pecat', 'bahlil', 'menteri', 'nggak', 'becus']",anak bbm deras impor nggak over capacity prabowo mohon pecat bahlil menteri nggak becus
@HasbullahNana,Bahlin Duri tersembunyi,bahlin duri tersembunyi,"['bahlin', 'duri', 'tersembunyi']",bahlin duri tersembunyi
@taufikridzal3738,"tolong pak prabowo ganti menteri yg ga becus,,angkat menteri yg berkompeten di bidang nya,,jangan lagi bagi² jatah partai koalisi,,,",tolong pak prabowo ganti menteri yg ga becusangkat menteri yg berkompeten di bidang nyajangan lagi bagi jatah partai koalisi,"['tolong', 'pak', 'prabowo', 'ganti', 'menteri', 'yg', 'ga', 'becusangkat', 'menteri', 'yg', 'berkompeten', 'di', 'bidang', 'nyajangan', 'lagi', 'bagi', 'jatah', 'partai', 'koalisi']",tolong prabowo ganti menteri yg ga becusangkat menteri yg berkompeten bidang nyajangan jatah partai koalisi
@freedom7987,Goblin titipan partai 😂😂😂,goblin titipan partai,"['goblin', 'titipan', 'partai']",goblin titipan partai
@nurhayatinur3764,Ayo pak menteri keuangan. Bagun kilang minyak jgn mudur.. Rakyat Indonesia hanya untuk pak menteri untuk Mesjtrhakan Rakyat Indonesia.,ayo pak menteri keuangan bagun kilang minyak jgn mudur rakyat indonesia hanya untuk pak menteri untuk mesjtrhakan rakyat indonesia,"['ayo', 'pak', 'menteri', 'keuangan', 'bagun', 'kilang', 'minyak', 'jgn', 'mudur', 'rakyat', 'indonesia', 'hanya', 'untuk', 'pak', 'menteri', 'untuk', 'mesjtrhakan', 'rakyat', 'indonesia']",ayo menteri keuangan bagun kilang minyak jgn mudur rakyat indonesia menteri mesjtrhakan rakyat indonesia
@lim-lim2270,Ga masuk di akal😂...over kapasitas itu kalo udah ga impor dan hasil dari Pertamina banyak😂...emang emang ini 😂😂😂😂😂😂😂,ga masuk di akalover kapasitas itu kalo udah ga impor dan hasil dari pertamina banyakemang emang ini,"['ga', 'masuk', 'di', 'akalover', 'kapasitas', 'itu', 'kalo', 'udah', 'ga', 'impor', 'dan', 'hasil', 'dari', 'pertamina', 'banyakemang', 'emang', 'ini']",ga masuk akalover kapasitas kalo udah ga impor hasil pertamina banyakemang emang
@ZenZen-o6f,"Kementrian ESDM harusnya dipegang orang dr kalangan profesional...Anehnya masih sj dipegang orang politik dr rezim sebelumnya,dimana Prabowo sebenernya paham betul sprti apa rezim sebelumnya.",kementrian esdm harusnya dipegang orang dr kalangan profesionalanehnya masih sj dipegang orang politik dr rezim sebelumnyadimana prabowo sebenernya paham betul sprti apa rezim sebelumnya,"['kementrian', 'esdm', 'harusnya', 'dipegang', 'orang', 'dr', 'kalangan', 'profesionalanehnya', 'masih', 'sj', 'dipegang', 'orang', 'politik', 'dr', 'rezim', 'sebelumnyadimana', 'prabowo', 'sebenernya', 'paham', 'betul', 'sprti', 'apa', 'rezim', 'sebelumnya']",kementrian esdm dipegang orang dr kalangan profesionalanehnya sj dipegang orang politik dr rezim sebelumnyadimana prabowo sebenernya paham sprti rezim
@antonkartika1874,Kenapa gak ada yg demo Pertamina .,kenapa gak ada yg demo pertamina,"['kenapa', 'gak', 'ada', 'yg', 'demo', 'pertamina']",gak yg demo pertamina
@fatzilla3584,Rakyat sudah curiga kl kilang dibakar.,rakyat sudah curiga kl kilang dibakar,"['rakyat', 'sudah', 'curiga', 'kl', 'kilang', 'dibakar']",rakyat curiga kl kilang dibakar
@tonewrj3358,Krn sesungguhnya dana import itu lebih menggiurkan duitnya bagi kaum pencuri dr pada buat kilang baru,krn sesungguhnya dana import itu lebih menggiurkan duitnya bagi kaum pencuri dr pada buat kilang baru,"['krn', 'sesungguhnya', 'dana', 'import', 'itu', 'lebih', 'menggiurkan', 'duitnya', 'bagi', 'kaum', 'pencuri', 'dr', 'pada', 'buat', 'kilang', 'baru']",krn sesungguhnya dana import menggiurkan duitnya kaum pencuri dr kilang
@cefi8773,"Menkeu yg baru ini jg katagori Genk solo ,, cek saja wawancaranya saat Baru di Lantik, ,secara politik dia minta perlindungan sama jkw",menkeu yg baru ini jg katagori genk solo  cek saja wawancaranya saat baru di lantik secara politik dia minta perlindungan sama jkw,"['menkeu', 'yg', 'baru', 'ini', 'jg', 'katagori', 'genk', 'solo', 'cek', 'saja', 'wawancaranya', 'saat', 'baru', 'di', 'lantik', 'secara', 'politik', 'dia', 'minta', 'perlindungan', 'sama', 'jkw']",menkeu yg jg katagori genk solo cek wawancaranya lantik politik perlindungan jkw
@NerakaLangit,"​ @cefi8773 klo geng solo g mungkin brani nyenggol pertamina, mbg, bahlil, luhut & dlsb 😅",klo geng solo g mungkin brani nyenggol pertamina mbg bahlil luhut  dlsb,"['klo', 'geng', 'solo', 'g', 'mungkin', 'brani', 'nyenggol', 'pertamina', 'mbg', 'bahlil', 'luhut', 'dlsb']",klo geng solo g brani nyenggol pertamina mbg bahlil luhut dlsb
@angrahputra7400, @cefi8773 bukan berarti klo kenal itu genknya 😂 gak gtu jga kaleee cara berpikirnya,bukan berarti klo kenal itu genknya  gak gtu jga kaleee cara berpikirnya,"['bukan', 'berarti', 'klo', 'kenal', 'itu', 'genknya', 'gak', 'gtu', 'jga', 'kaleee', 'cara', 'berpikirnya']",klo kenal genknya gak gtu jga kaleee berpikirnya
@arisetiono23,"​​ @NerakaLangit Purbaya itu orang Luhut dan Jokowi...kalo bahlil memang orang Golkar ...Partai Kuning tahu sendiri seperti apa...Prabowo pakai Krn butuh koalisi dari Golkar... Kalo mau ganti Bahlil ya harus konsultasi dg Golkar setuju atau tidak...kalo setuju maka Golkar yg menyodorkan nama... Itu resiko koalisi... Beda seperti Purbaya, meski orang nya luhut dan Jokowi dia orang bebas, profesional bukan orang partai jadi lebih lepas..jadi Prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun...
Masak logika seperti itu saja pada gak paham
..hahaha","purbaya itu orang luhut dan jokowikalo bahlil memang orang golkar partai kuning tahu sendiri seperti apaprabowo pakai krn butuh koalisi dari golkar kalo mau ganti bahlil ya harus konsultasi dg golkar setuju atau tidakkalo setuju maka golkar yg menyodorkan nama itu resiko koalisi beda seperti purbaya meski orang nya luhut dan jokowi dia orang bebas profesional bukan orang partai jadi lebih lepasjadi prabowo tunjuk dia jadi menteri lebih enak tanpa harus lewat persetujuan partai manapun
masak logika seperti itu saja pada gak paham
hahaha","['purbaya', 'itu', 'orang', 'luhut', 'dan', 'jokowikalo', 'bahlil', 'memang', 'orang', 'golkar', 'partai', 'kuning', 'tahu', 'sendiri', 'seperti', 'apaprabowo', 'pakai', 'krn', 'butuh', 'koalisi', 'dari', 'golkar', 'kalo', 'mau', 'ganti', 'bahlil', 'ya', 'harus', 'konsultasi', 'dg', 'golkar', 'setuju', 'atau', 'tidakkalo', 'setuju', 'maka', 'golkar', 'yg', 'menyodorkan', 'nama', 'itu', 'resiko', 'koalisi', 'beda', 'seperti', 'purbaya', 'meski', 'orang', 'nya', 'luhut', 'dan', 'jokowi', 'dia', 'orang', 'bebas', 'profesional', 'bukan', 'orang', 'partai', 'jadi', 'lebih', 'lepasjadi', 'prabowo', 'tunjuk', 'dia', 'jadi', 'menteri', 'lebih', 'enak', 'tanpa', 'harus', 'lewat', 'persetujuan', 'partai', 'manapun', 'masak', 'logika', 'seperti', 'itu', 'saja', 'pada', 'gak', 'paham', 'hahaha']",purbaya orang luhut jokowikalo bahlil orang golkar partai kuning apaprabowo pakai krn butuh koalisi golkar kalo ganti bahlil ya konsultasi dg golkar setuju tidakkalo setuju golkar yg menyodorkan nama resiko koalisi beda purbaya orang nya luhut jokowi orang bebas profesional orang partai lepasjadi prabowo menteri enak persetujuan partai manapun masak logika gak paham hahaha
@handriaja1503,​ @arisetiono23 yes..karena orang partai susah disingkirkan 😂,yeskarena orang partai susah disingkirkan,"['yeskarena', 'orang', 'partai', 'susah', 'disingkirkan']",yeskarena orang partai susah disingkirkan
